"crashID" "meshblockID"
201204341 "411900"
201003901 "842401"
201204725 "780501"
201204909 "72704"
201013650 "1717400"
201111316 "2134600"
2912149 "2132400"
201111704 "2345602"
201123060 "2450214"
2902064 "1279502"
201204458 "1279038"
201205273 "1279601"
2804508 "712302"
201021385 "2549900"
201121595 "2420100"
201023278 "2982500"
2922893 "2492904"
2922533 "2454701"
2812412 "2147900"
201212701 "2147900"
201112548 "2148300"
2812666 "2148300"
201211817 "2171900"
201111313 "2163400"
201212126 "2148700"
201212196 "2146100"
2913680 "2172300"
2811818 "2171400"
201012767 "2027500"
201000164 "1204401"
201000055 "10300"
2800126 "10800"
201102911 "1061001"
2823775 "2674101"
201222633 "2826900"
2812946 "2121400"
2913135 "1998600"
2912299 "1912001"
2813576 "1912200"
2810037 "1912200"
201011232 "1998600"
201221409 "2988100"
201202120 "204702"
201111990 "2247200"
201105386 "746313"
201105346 "178400"
201202974 "180301"
2904354 "181200"
201101760 "180855"
201103334 "180855"
201105088 "180838"
201222980 "2867200"
201102696 "58000"
201112444 "1835300"
2811306 "1848100"
201105618 "879900"
2820083 "2733800"
2803613 "100500"
201204134 "433501"
2904248 "951905"
2922887 "2606300"
2921544 "2606000"
201012605 "1729100"
2906024 "175112"
201204361 "1309400"
2805129 "1309400"
2912801 "1900000"
2902014 "1109700"
201013741 "2180601"
2812691 "2139604"
2801943 "1110500"
201201070 "871200"
2913613 "2226500"
201113206 "2226300"
201104367 "757700"
201005811 "759800"
201204230 "759726"
2905799 "761000"
201022351 "3030906"
201021531 "2974300"
201121885 "2974900"
2923549 "2974200"
201102274 "743500"
201102182 "669300"
2904704 "669300"
2900009 "522300"
201101293 "520500"
2822423 "2747700"
2803757 "711500"
201110007 "2110200"
2903435 "1212101"
2804268 "506600"
201103993 "793900"
201011491 "1723500"
2922491 "2947000"
2802043 "141607"
201101503 "1250100"
2813147 "1640500"
201021887 "2931300"
201221982 "2931400"
2921245 "2931200"
2923306 "2930300"
201200018 "1105700"
2803874 "910100"
201005927 "910000"
201012367 "2358501"
201123099 "2480502"
201122582 "2616300"
201021397 "2616300"
2802795 "186004"
2822076 "2869200"
201222234 "2869200"
2900097 "104600"
2902164 "327500"
2801382 "327600"
2811633 "1712900"
201202582 "470000"
201106078 "475600"
201001809 "478000"
2912670 "1837901"
2910080 "1837502"
201013116 "2374100"
201112936 "2374100"
2813791 "2374200"
201104366 "64700"
2902238 "64700"
2905806 "282803"
201122539 "2863601"
201121934 "2863601"
201122256 "2863601"
201210047 "1795500"
2813110 "2350307"
2813263 "2336702"
2901826 "122200"
2901040 "122200"
2901287 "989400"
201002307 "989400"
2902693 "989600"
2905591 "1126200"
2903411 "1125500"
201104480 "991200"
2806598 "991000"
201000040 "1128100"
201201059 "1131101"
2804355 "1131000"
201102076 "1131101"
2804971 "814306"
201100113 "814200"
201105455 "815300"
2903010 "815401"
201105832 "217000"
2912554 "1896300"
201012439 "1895600"
201103340 "77000"
2903420 "1279802"
201002211 "1208500"
201201091 "1208800"
2800072 "1145700"
2902728 "1309300"
2906199 "1325600"
2803365 "1325600"
201003782 "1119100"
201122131 "3039508"
201212680 "2051200"
201002463 "200800"
201203604 "205100"
201012698 "1919505"
2821729 "3044900"
201001146 "763700"
2922863 "3035900"
2823212 "3078400"
201011744 "1510900"
201003780 "1018200"
201013533 "1941500"
2921527 "2653400"
201203925 "967601"
201221105 "2401201"
201221469 "2401000"
201021155 "2401000"
2812098 "2157701"
201111609 "2157800"
201112758 "2158800"
201211982 "2158200"
201222758 "2772000"
2901232 "1267200"
201123037 "3039704"
201000096 "598700"
2921599 "2900500"
201021818 "3038102"
2822925 "3039402"
2822293 "2837800"
201022613 "2756500"
201121874 "2742000"
201122219 "2742300"
2820086 "2754700"
201120015 "2754600"
2821230 "2756500"
2921720 "2848000"
2806068 "1200700"
201205337 "387001"
2906247 "386900"
201101999 "386900"
2922250 "2747101"
201221540 "2747102"
2813019 "1515300"
201123000 "2638400"
201011489 "1758402"
201211813 "1852500"
2901496 "108500"
2822262 "2459800"
2820067 "2446402"
2811089 "1837100"
2806045 "716202"
201020055 "2401700"
2922211 "2401700"
2922014 "2401700"
201123216 "2401700"
2922995 "2401700"
201022443 "2401800"
2821535 "2401700"
201013758 "2316200"
201122332 "2643300"
201202209 "1181100"
201000160 "501901"
2803085 "501903"
2806116 "787300"
2804503 "787300"
201202567 "294400"
2903772 "295002"
201003647 "295002"
201211103 "1377600"
2802258 "824903"
201212415 "1523700"
2900075 "48404"
2812859 "1652400"
2913104 "2142300"
2911412 "1426700"
2904464 "907601"
2823542 "2789000"
2904628 "681321"
201005536 "681337"
201201623 "681308"
2901437 "681333"
201104890 "120200"
201021633 "3153400"
2913168 "1455701"
201021362 "2577201"
2822237 "2577400"
201004387 "389004"
2822778 "2576503"
2922114 "3179300"
2813410 "2288700"
201121534 "2520801"
201021165 "2535000"
201103547 "290703"
201021827 "2611400"
201122884 "2613500"
201200088 "1299500"
201013483 "1789101"
2910079 "1789300"
2810017 "1788600"
201200122 "1066300"
2820052 "2831101"
2821741 "2835700"
201022550 "3159600"
201023151 "3083403"
2920037 "2481100"
2921298 "2481602"
201110014 "2307700"
201112769 "2307500"
201003607 "830500"
201100025 "830600"
201201400 "830700"
2900124 "831100"
2806160 "831100"
2803280 "831200"
201205220 "831200"
201101753 "830500"
201105358 "830900"
201005425 "831000"
201204642 "830800"
2803504 "456900"
2821957 "2968200"
2904923 "183000"
201121109 "2815600"
2912144 "1360500"
201105361 "437700"
201204129 "737600"
2904871 "737800"
2903732 "739902"
2803116 "737301"
2923355 "2762300"
2920048 "3152400"
2821651 "3099700"
2921158 "3099800"
201022328 "3091801"
2905113 "708000"
2804251 "709400"
201003812 "709400"
2906287 "700602"
2906233 "698500"
2804489 "698900"
2804249 "698900"
2906175 "706300"
201104879 "706300"
2802000 "698900"
2913149 "1558100"
2823483 "2817000"
201023133 "2872400"
201121299 "2872400"
2812329 "2220000"
2811945 "2220100"
2922866 "3036804"
201122352 "3030902"
2922572 "3183200"
2904111 "352500"
201204255 "555100"
2802988 "555100"
2903130 "553500"
201005292 "973600"
201001651 "97000"
2803610 "97000"
201203084 "14700"
2805098 "14600"
201006270 "100700"
2803273 "100300"
201005086 "97100"
201005666 "952500"
2801598 "878501"
201201971 "871600"
201022805 "2694400"
201023158 "2658100"
2922912 "2657400"
2922513 "2657400"
201122781 "2650800"
201221637 "2650900"
201021486 "2650600"
201023164 "2650400"
201023341 "2657800"
2813469 "1446900"
201221655 "3018600"
201205251 "1188900"
201001296 "952200"
201121771 "2642400"
201222055 "2642400"
201122716 "2642800"
2922542 "2642002"
201022043 "2642003"
201221349 "2643200"
201120021 "2476400"
201221212 "2640100"
201022158 "2646800"
201222213 "2642400"
2922173 "2647000"
2822815 "2637400"
201122593 "2640700"
201122378 "2641300"
201122111 "3030102"
201021099 "3030105"
2811317 "1867700"
201204921 "809900"
201101362 "712114"
2803885 "976702"
2905576 "176006"
201121273 "2711503"
2922384 "3101400"
2921255 "2928400"
2805713 "117303"
201000110 "117600"
201106065 "117600"
2901815 "117500"
201003543 "313800"
2805914 "438212"
2922208 "2564800"
201005389 "157300"
201121122 "2564200"
201121125 "2716200"
201020026 "2447201"
2803058 "313500"
2913423 "1407200"
201021352 "2447201"
201222187 "2832000"
201004579 "161900"
201010051 "1349800"
2902105 "161600"
2911649 "1527400"
201202909 "112800"
201102582 "804901"
201003318 "438203"
2921210 "2314200"
2802656 "752100"
2812719 "1407200"
2805639 "164300"
201211015 "2333000"
201102042 "1183300"
201002688 "596700"
2906348 "718900"
201000118 "719304"
201123104 "3035205"
2923636 "2777100"
2813173 "1622200"
201010067 "1621900"
2923669 "2777300"
201022944 "2694200"
2922934 "2694300"
201022781 "2694300"
2822476 "2694200"
201021825 "2694200"
201021485 "2694200"
201023324 "2687200"
2921751 "2654900"
201122719 "2686500"
201121739 "2678400"
2823577 "2678400"
2821203 "2676700"
201003412 "1215200"
201004158 "1214900"
201106025 "224304"
201203001 "224304"
201102073 "1190809"
201104675 "1247700"
201121064 "3006800"
2921209 "2751100"
201013133 "2287002"
201212279 "2048700"
201211227 "1579100"
2911921 "1579100"
201221629 "2513700"
201201320 "1191801"
2804712 "1101100"
2802370 "1207003"
2905723 "1338701"
201111671 "1995000"
2903891 "545700"
2804178 "1159402"
201111856 "1875202"
201201334 "1214900"
2922872 "3071500"
2806098 "488400"
2901894 "200500"
201003884 "200500"
2801696 "200000"
2823558 "3034908"
201002014 "216600"
201105768 "219503"
201006426 "281700"
201201335 "1190200"
201213087 "2145000"
201012826 "2146800"
201112971 "2271500"
201011760 "2271600"
201013647 "1462202"
201110019 "1449800"
201204329 "1162600"
2900003 "1260700"
201121521 "2500500"
201120032 "2500500"
201220031 "2500900"
201021653 "3182500"
201200116 "238100"
2806189 "235712"
2803490 "346900"
201001985 "347202"
2901615 "357300"
2821748 "2765800"
201120031 "2538901"
2904941 "712305"
2913764 "2333100"
201222827 "3083801"
2812516 "2103700"
201101946 "178101"
2903590 "178101"
201203121 "178003"
2906408 "178101"
2821467 "2979802"
201221708 "2979802"
2921546 "2979802"
2821315 "3181900"
201021987 "3181900"
201023345 "3182000"
201023285 "3172600"
201021858 "2409800"
201101311 "873800"
201013591 "2115301"
201221771 "2863100"
2812710 "1444100"
2823259 "2538800"
201222526 "2538800"
201022916 "2538800"
201121823 "2539700"
2922425 "2539001"
201222251 "2539001"
201021787 "2539001"
201023043 "2539700"
201121733 "2538800"
201122945 "2538800"
2810080 "2309400"
201004806 "1335300"
2905420 "380501"
2905808 "378300"
2801726 "378300"
2904977 "372500"
2802963 "382600"
201204747 "380501"
2901635 "382600"
201003196 "371502"
201013477 "1901200"
2822254 "2863900"
201022588 "2434701"
2923512 "3003402"
201104376 "643300"
201120039 "2771400"
201204989 "377500"
201205498 "377600"
2902632 "838800"
2805433 "839500"
201211090 "2121900"
2922622 "2742400"
201202912 "195900"
201102007 "895700"
2912805 "1849300"
2806287 "1172200"
2905913 "8301"
2912411 "1822300"
2813494 "1806300"
2811216 "1801400"
201113303 "1821600"
201006223 "710517"
2902481 "711127"
2906150 "711174"
2902557 "648100"
201213200 "2360400"
201205460 "801600"
2803149 "801600"
2804295 "715506"
201105632 "863700"
2803396 "863700"
2903223 "715910"
2801899 "715910"
2811088 "1828200"
201211680 "2121900"
201211873 "2123700"
2812204 "2122000"
2923248 "2504801"
2821118 "2559800"
201211925 "2088100"
2904680 "721400"
2921393 "2982700"
201121849 "2596300"
2821378 "2449002"
201022761 "2448800"
201002380 "1325904"
201201045 "1325800"
2804183 "898800"
201012226 "2125800"
201021259 "3080500"
2811810 "1706200"
201222891 "3070600"
201011719 "1615000"
201221201 "2572101"
2823527 "2578100"
201022813 "2569600"
201220063 "2575800"
2822439 "2569400"
2806594 "921200"
2923016 "2759000"
2812350 "1925500"
2804194 "895000"
201113354 "1634600"
2803313 "912400"
2906322 "912300"
2902766 "912300"
201221914 "2597000"
2922759 "2507400"
