"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"A C BATHS AVENUE","50","S","SPA ROAD","201002802","12/05/2010","Wed","0950","CAR1 NBD on A C BATHS AVENUE hit rear of CAR2 turning right from centre line","CAR1 following too closely, failed to notice car slowing  ENV: entering or leaving other commercial","Dry","Overcast","Fine","Driveway","N/A","0","0","2","1869065","5714428",
"ACACIA BAY ROAD","5","E","ALBERTA ST","2902064","23/03/2009","Mon","2004","VAN1 WBD on ACACIA BAY ROAD lost control but did not leave the road, VAN1 hit Traffic Island, Traffic Sign, Tree","VAN1 alcohol test above limit or test refused, illness and disability","Dry","Dark","Fine","T Type Junction","Nil","0","1","3","1863798","5712208",
"ACACIA BAY ROAD","30","N","ARIHIA ST","201136362","28/07/2011","Thu","0818","CAR1 SBD on ACACIA BAY ROAD hit rear end of SUV2 stop/slow for queue","CAR1 alcohol test above limit or test refused, following too closely, failed to notice car slowing  SUV2 suddenly braked","Dry","Overcast","Fine","Unknown","N/A","0","0","0","1866216","5714033",
"ACACIA BAY ROAD","","I","BRENTWOOD AVENUE","2841717","26/09/2008","Fri","1945","CAR1 WBD on ACACIA BAY ROAD lost control turning right, CAR1 hit Fence, Traffic Island, Traffic Sign, Tree on right hand bend ","CAR1 alcohol test above limit or test refused, lost control when turning","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","0","1866063","5713863",
"ACACIA BAY ROAD","100","S","KORUKOMOANA ROAD","201003229","21/06/2010","Mon","1702","CAR1 SBD on ACACIA BAY ROAD lost control; went off road to left, CAR1 hit Cliff Bank","CAR1 lost control, new driver showed inexperience, driver over-reacted","Dry","Twilight","Fine","Unknown","N/A","0","0","1","1864360","5712614",
"ACACIA BAY ROAD","","I","LOCHABER DRIVE","201204458","25/10/2012","Thu","1015","CYCLIST1 (Age 32)NBD on ACACIA BAY ROAD hit CAR2 merging from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Overcast","Fine","T Type Junction","Give Way Sign","0","1","0","1865828","5713686",
"ACACIA BAY ROAD","10","S","MANSELL ROAD","2904624","30/05/2009","Sat","1718","CAR1 SBD on ACACIA BAY ROAD hit rear of CAR2 turning right from centre line","CAR1 failed to notice indication of vehicle in front, attention diverted by cigarette etc  ENV: entering or leaving shopping complex","Wet","Dark","Light Rain","Driveway","Nil","0","0","1","1866246","5714091",
"ACACIA BAY ROAD","90","S","NORMAN SMITH ST","201043302","26/12/2010","Sun","1700","CAR1 NBD on ACACIA BAY ROAD sideswiped by CAR2 turning left","CAR1 overtaking on left, failed to notice indication of vehicle in front  CAR2 turned left from near centre line  ENV: entering or leaving private house / farm","Dry","Overcast","Fine","Driveway","N/A","0","0","0","1866317","5714229",
"ACACIA BAY ROAD","","I","NORMAN SMITH ST","201132513","26/03/2011","Sat","0045","CAR1 WBD on NORMAN SMITH ST lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 lost control when turning","Wet","Dark","Fine","T Type Junction","Stop Sign","0","0","0","1866358","5714309",
"ACACIA BAY ROAD","50","W","PAENOA ROAD","201205273","31/12/2012","Mon","2325","TAXI1 EBD on ACACIA BAY ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 Intoxicated non-driver, crossing heedless of traffic","Dry","Dark","Fine","Unknown","N/A","0","1","0","1865421","5713382",
"ACACIA BAY ROAD","","I","POIHIPI ROAD","201030048","13/01/2010","Wed","0515","CAR1 WBD on POIHIPI ROAD hit CAR2 turning right onto POIHIPI ROAD from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","0","1866749","5715142",
"ACACIA BAY ROAD","15","N","SCENIC HEIGHTS DRIVE","201104571","19/10/2011","Wed","1221","CAR1 NBD on ACACIA BAY ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing road, running heedless of traffic, pedestrian unsupervised child, pedestrian attention diverted eg cigarette, cell phone, music player","Wet","Overcast","Unknown","Unknown","N/A","0","0","1","1863650","5712092",
"ACACIA BAY ROAD","230","S","TE KOPUA ST","201204854","01/11/2012","Thu","","MOPED1 NBD on ACACIA BAY ROAD lost control turning left, MOPED1 hit Kerb","MOPED1 lost control when turning, new driver showed inexperience, driving unfamiliar vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1863704","5711403",
"ACACIA BAY ROAD","200","E","TUPARA ROAD","2831763","25/02/2008","Mon","2150","CAR1 WBD on ACACIA BAY ROAD hit rear end of CAR2 stop/slow for queue","CAR1 failed to notice car slowing  CAR3 attention diverted while trying to find intersection","Dry","Dark","Fine","Unknown","N/A","0","0","0","1864135","5712452",
"ACACIA BAY ROAD","440","S","WAKEMAN ROAD S","201239871","10/11/2012","Sat","2309","CAR1 NBD on ACACIA BAY ROAD lost control turning left, CAR1 hit Other","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, suddenly braked","Dry","Dark","Fine","Unknown","N/A","0","0","0","1862748","5710022",
"ACACIA BAY ROAD","440","S","WAKEMAN ROAD S","201236651","30/07/2012","Mon","1600","TRUCK1 SBD on ACACIA BAY ROAD lost control turning right, TRUCK1 hit Cliff Bank on right hand bend ","TRUCK1 too fast entering corner, too far left/right, lost control while returning to seal from unsealed shoulder  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","0","0","1862748","5710022",
"ACACIA BAY ROAD","2800","S","WAKEMAN ROAD S","2943467","25/12/2009","Fri","1600","CAR1 NBD on ACACIA BAY ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 lost control when turning, showing off wheelspins etc","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1862251","5708265",
"ACCESS ROAD","80","E","ACACIA BAY ROAD","201205774","29/12/2012","Sat","1531","CAR1 WBD on ACCESS ROAD while manoeuvring hit PEDESTRIAN crossing road","CAR1 didnt see/look behind when reversing/manoeuvering  PEDESTRIAN2 pedestrian behind reversing/manoeuvering vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1863100","5710700",
"ADAMS AVENUE","20","S","MARINE PARADE","2834271","22/03/2008","Sat","1620","CAR1 SBD on ADAMS AVENUE hit CAR2 parking/unparking","CAR2 inattentive, attention diverted by scenery or persons outside vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1880360","5830310",
"ADAMS AVENUE","40","S","MARINE PARADE","201139521","15/12/2011","Thu","2300","CAR1 NBD on ADAMS AVENUE hit parked veh, CAR1 hit Parked Vehicle","CAR1 too far left/right","Wet","Dark","Unknown","Unknown","N/A","0","0","0","1880350","5830293",
"ADAMS AVENUE","","I","MARINE PARADE","201130394","02/02/2011","Wed","1330","CAR1 WBD on ADAMS AVENUE hit rear end of CAR2 stop/slow for PEDESTRIAN","CAR1 failed to notice car slowing","Dry","Bright Sun","Fine","T Type Junction","Nil","0","0","0","1880370","5830328",
"ADAMS AVENUE","15","N","MAUNGANUI ROAD","2941997","17/10/2009","Sat","2000","parked CAR1 SBD on ADAMS AVENUE ran away, CAR1 hit Parked Vehicle","CAR1 parking brake not fully applied  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","0","1880323","5830247",
"ADAMS AVENUE","5","S","MAUNGANUI ROAD","201139012","09/11/2011","Wed","1610","CAR1 SBD on ADAMS AVENUE hit parked veh, CAR1 hit Parked Vehicle","CAR1 alcohol test below limit, too far left/right","Dry","Bright Sun","Fine","Roundabout","Give Way Sign","0","0","0","1880313","5830229",
"ADAMS AVENUE","","I","MAUNGANUI ROAD","201130393","02/02/2011","Wed","1130","MOPED1 NBD on ADAMS AVENUE hit CAR2 turning right onto ADAMS AVENUE from the left","CAR2 wrong way in one way street, failed to give way to traffic approaching/crossing from the right","Dry","Bright Sun","Fine","Roundabout","Give Way Sign","0","0","0","1880316","5830234",
"ADAMS AVENUE","","I","MAUNGANUI ROAD","201040824","14/10/2010","Thu","2045","CAR1 SBD on ADAMS AVENUE hit rear end of CAR2 stop/slow for cross traffic","CAR1 failed to notice car slowing, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Roundabout","Give Way Sign","0","0","0","1880316","5830234",
"AERODROME ROAD","170","S","AVIATION AVENUE","201135704","10/07/2011","Sun","1726","VAN1 SBD on AERODROME ROAD lost control turning right on right hand bend ","VAN1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","Unknown","N/A","0","0","0","1882467","5825957",
"AERODROME ROAD","","I","AVIATION AVENUE","201032662","20/03/2010","Sat","1654","CAR1 SBD on AERODROME ROAD lost control while overtaking, CAR1 hit House Or Bldg","CAR1 wrong pedal","Dry","Bright Sun","Fine","T Type Junction","Give Way Sign","0","0","0","1882494","5826124",
"AERODROME ROAD","20","S","CHEROKEE PLACE","201000164","21/12/2010","Tue","1548","TRUCK2 turning right hit by oncoming MOTOR CYCLE1 NBD on AERODROME ROAD ","MOTOR CYCLE1 alcohol not suspected, tested and -ve (MoT use only), too fast for conditions  TRUCK2 failed to give way when turning to non-turning traffic, misjudged speed etc of vehicle coming from another dirn with right of way  ENV: entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","Nil","1","0","0","1882525","5826313",
"AERODROME ROAD","30","N","SH 29","2902741","01/05/2009","Fri","1645","CAR1 NBD on AERODROME ROAD hit CAR2 U-turning from same direction of travel","CAR1 too fast on straight  CAR2 didnt see/look behind when changing lanes, position or direction, misjudged speed, etc of vehicle coming from behind or alongside","Dry","Bright Sun","Fine","Unknown","N/A","0","0","2","1882552","5826478",
"ALACH ST","","I","SHERSON ST","2844219","03/11/2008","Mon","1700","SUV1 WBD on ALACH ST lost control turning right, SUV1 hit Parked Vehicle on right hand bend ","SUV1 too fast entering corner","Dry","Bright Sun","Fine","T Type Junction","Nil","0","0","0","1875644","5820092",
"ALEXANDER AVENUE","20","W","AMOKURA PLACE","201102309","26/04/2011","Tue","","SUV1 EBD on ALEXANDER AVENUE lost control; went off road to right, SUV1 hit Parked Vehicle","SUV1 attention diverted by animal or insect in vehicle  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","0","1","1950442","5790237",
"ALEXANDER AVENUE","50","W","AMOKURA PLACE","201204361","03/09/2012","Mon","1425","CAR1 WBD on ALEXANDER AVENUE hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing heedless of traffic  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","1","0","1950413","5790242",
"ALEXANDER AVENUE","","I","DOUGLAS ST","2903545","20/06/2009","Sat","1100","CAR2 turning right hit by oncoming CAR1 EBD on ALEXANDER AVENUE ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when visibility obstructed by other vehicles","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","2","1950369","5790250",
"ALEXANDER AVENUE","","I","DOUGLAS ST","2804307","04/08/2008","Mon","","CYCLIST1 (Age 15)NBD on DOUGLAS ST hit CAR2 crossing at right angle from right","CYCLIST1 driving or riding on footpath, failed to give way entering roadway not from driveway or intersection","Dry","Overcast","Fine","X Type Junction","Stop Sign","0","0","1","1950369","5790250",
"ALEXANDER AVENUE","","I","DOUGLAS ST","201102097","08/04/2011","Fri","1635","CAR1 WBD on ALEXANDER AVENUE hit CAR2 crossing at right angle from right","CAR2 did not stop at stop sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","2","1950369","5790250",
"ALEXANDER AVENUE","","I","DOUGLAS ST","201039106","24/08/2010","Tue","0820","CAR1 EBD on ALEXANDER AVENUE hit VAN2 crossing at right angle from right, VAN2 hit Traffic Island","VAN2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","0","1950369","5790250",
"ALEXANDER AVENUE","","I","DOUGLAS ST","201037909","15/07/2010","Thu","1430","SUV1 WBD on ALEXANDER AVENUE hit CAR2 turning right onto ALEXANDER AVENUE from the left, SUV1 hit Parked Vehicle","CAR2 failed to give way at stop sign, didnt see/look when required to give way to traffic from another direction, impared ability due to old age","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","0","1950369","5790250",
"ALEXANDER AVENUE","40","W","VALLEY ROAD","2805129","25/08/2008","Mon","1640","MOTOR CYCLE1 WBD on ALEXANDER AVENUE overtaking hit CAR2 turning right","MOTOR CYCLE1 overtaking vehicle signaling right turn, failed to notice indication of vehicle in front  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1950582","5790211",
"ALEXANDER AVENUE","","I","VALLEY ROAD","201134544","28/05/2011","Sat","0030","CAR1 SBD on VALLEY ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","T Type Junction","Stop Sign","0","0","0","1950622","5790204",
"ALISON ST","110","E","EDMUND ROAD","201003770","16/07/2010","Fri","2228","CAR1 WBD on ALISON ST lost control turning left, CAR1 hit Kerb, Post Or Pole","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, emotionally upset/road rage","Wet","Dark","Fine","Unknown","N/A","0","0","1","1881775","5774365",
"ALISON ST","150","E","EDMUND ROAD","201043194","19/12/2010","Sun","2340","CAR1 EBD on ALISON ST lost control turning right, CAR1 hit Fence, Kerb on right hand bend ","CAR1 alcohol test above limit or test refused, new driver showed inexperience, windscreen or rear window misted/frosted  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","0","1881811","5774348",
"ALISON ST","200","E","EDMUND ROAD","201034298","08/05/2010","Sat","2140","CAR1 EBD on ALISON ST lost control turning right, CAR1 hit Tree on right hand bend ","CAR1 alcohol test above limit or test refused, new driver showed inexperience","Dry","Dark","Fine","Unknown","N/A","0","0","0","1881845","5774312",
"ALLPORT ROAD","500","E","SH 33","2903435","25/06/2009","Thu","0830","CAR1 WBD on ALLPORT ROAD lost control turning left, CAR1 hit Fence","CAR1 lost control due to road conditions  ENV: road slippery (frost or ice)","Ice/ Snow","Bright Sun","Fine","Unknown","N/A","0","1","0","1898449","5803801",
"AMOHIA ST","15","N","ERUERA ST","2836960","06/06/2008","Fri","1100","VAN1 SBD on AMOHIA ST hit Parked Vehicle while manoeuvring","VAN1 too far left/right","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1884741","5773816",
"AMOHIA ST","5","N","HAUPAPA ST","201031254","11/01/2010","Mon","1555","CAR1 SBD on AMOHIA ST hit CAR2 angle parking, CAR2 hit Vehicle","CAR1 attention diverted by cell phone  CAR2 didnt see/look behind when reversing/manoeuvering","Dry","Bright Sun","Fine","Roundabout","Give Way Sign","0","0","0","1884753","5774140",
"AMOHIA ST","50","S","HAUPAPA ST","2933062","12/03/2009","Thu","1247","SUV1 SBD on AMOHIA ST hit rear end of CAR2 stop/slow for queue","SUV1 failed to notice car slowing","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1884750","5774063",
"AMOHIA ST","","I","HAUPAPA ST","2942548","07/11/2009","Sat","1930","SUV1 NBD on AMOHIA ST lost control turning right, SUV1 hit Traffic Island, Other on right hand bend ","SUV1 lost control when turning, attention diverted by passengers, driver over-reacted","Dry","Overcast","Fine","Roundabout","Give Way Sign","0","0","0","1884745","5774116",
"AMOHIA ST","30","N","HINEMOA ST","201037120","09/07/2010","Fri","1014","CAR1 SBD on AMOHIA ST hit CAR2 angle parking","CAR2 didnt see/look behind when reversing/manoeuvering","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1884746","5773943",
"AMOHIA ST","30","N","HINEMOA ST","2932207","23/01/2009","Fri","1515","CAR1 NBD on AMOHIA ST hit CAR2 angle parking","CAR2 didnt see/look behind when reversing/manoeuvering","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1884745","5773943",
"AMOHIA ST","30","N","HINEMOA ST","2939694","10/03/2009","Tue","1325","BUS1 SBD on AMOHIA ST hit Parked Vehicle while manoeuvring","BUS1 didnt see/look behind when reversing/manoeuvering","Dry","Overcast","Fine","Unknown","N/A","0","0","0","1884745","5773943",
"AMOHIA ST","","I","HINEMOA ST","201131211","19/02/2011","Sat","1652","CAR1 EBD on AMOHIA ST hit CAR2 merging from the left","CAR2 failed to give way at give way sign, stolen vehicle","Dry","Bright Sun","Fine","X Type Junction","Give Way Sign","0","0","0","1884734","5773902",
"AMOHIA ST","20","N","SH 30A","201133228","18/04/2011","Mon","1210","BUS1 SBD on AMOHIA ST hit VAN2 angle parking","VAN2 didnt see/look behind when reversing/manoeuvering","Dry","Overcast","Fine","Unknown","N/A","0","0","0","1884737","5773705",
"ANDERSON ROAD","1100","N","OTUROA ROAD","201101503","21/02/2011","Mon","2227","CAR1 NBD on ANDERSON ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 too fast for conditions, lost control on unsealed road, inexperience","Dry","Dark","Fine","Unknown","N/A","0","1","0","1876386","5786448",
"ANGLE ROAD","70","S","MCLEAN ROAD","2803802","29/06/2008","Sun","0125","CAR1 NBD on ANGLE ROAD lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 too fast entering corner, lost control when turning, vehicle caught fire","Wet","Dark","Fine","Unknown","N/A","0","0","1","1942044","5790292",
"ANGLE ROAD","","I","POWDRELL ROAD","201230500","04/02/2012","Sat","2245","CAR1 NBD on ANGLE ROAD lost control turning right, CAR1 hit Ditch on right hand bend ","CAR1 lost control when turning, fatigue (drowsy, tired, fell asleep)  ENV: road slippery (rain)","Wet","Dark","Light Rain","X Type Junction","Give Way Sign","0","0","0","1942017","5790356",
"ANGLE ROAD","980","W","SH 30","2905534","27/11/2009","Fri","1547","CAR1 WBD on ANGLE ROAD hit rear of SUV2 turning right from centre line","CAR1 following too closely  SUV2 didn't signal in time when turning right  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","0","1","1942478","5789268",
"ANNE ST","40","W","PHILIP ST","201239375","12/10/2012","Fri","1800","CAR1 WBD on ANNE ST hit Parked Vehicle while manoeuvring","CAR1 didnt see/look behind when reversing/manoeuvering  ENV: entering or leaving private house / farm","Dry","Twilight","Fine","Driveway","N/A","0","0","0","1849978","5766150",
"ANZAC AVENUE","70","N","SALONIKA ST","201231570","11/05/2012","Fri","1200","CAR1 SBD on ANZAC AVENUE lost control; went off road to right, CAR1 hit Phone Box Etc., Post Or Pole","CAR1 too fast for conditions, lost control under heavy braking, new driver showed inexperience, driver over-reacted  ENV: road slippery (loose material on seal)","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1950528","5790612",
"ANZAC ROAD","30","W","TWENTYFIRST AVENUE","2942517","05/11/2009","Thu","1030","CAR1 WBD on ANZAC ROAD hit rear of CAR2 turning right from left side","CAR2 turned right from left side of road, didnt see/look behind when changing lanes, position or direction  ENV: entering or leaving private house / farm","Wet","Overcast","Light Rain","Driveway","N/A","0","0","0","1877183","5821673",
"AOTEA CRESCENT","15","W","SLIP ROAD","201238784","07/10/2012","Sun","1440","SUV1 WBD on AOTEA CRESCENT hit parked veh, SUV1 hit Parked Vehicle","SUV1 too far left/right, new driver showed inexperience","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1849814","5764602",
"APANUI AVENUE","30","E","MCGARVEY ROAD","2932202","05/02/2009","Thu","1255","CAR1 EBD on APANUI AVENUE hit VEHB manoeuvring, CAR1 hit House Or Bldg, Kerb","CAR1 driver over-reacted, wrong pedal","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1950321","5791527",
"APATA STATION ROAD","100","W","TURNTABLE HILL ROAD","201036086","31/05/2010","Mon","1420","TRUCK1 EBD on APATA STATION ROAD lost control; went off road to left, TRUCK1 hit Ditch","TRUCK1 too far left/right, fatigue (drowsy, tired, fell asleep)","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1862884","5828890",
"APIRANA ROAD","","I","RONGOMAI ROAD","201103273","13/07/2011","Wed","0120","CAR1 SBD on APIRANA ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control under heavy braking  ENV: road slippery (rain)","Wet","Dark","Light Rain","T Type Junction","Nil","0","0","2","1876502","5760520",
"APPALOOSA PLACE","50","E","ANDALUSIAN PLACE","201232645","31/05/2012","Thu","0951","CAR1 EBD on APPALOOSA PLACE lost control but did not leave the road, CAR1 hit Traffic Island, Tree","CAR1 fatigue due to working long hours before driving","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1887507","5822903",
"APPENZELL DRIVE","","A","APPENZELL DRIVE","201004798","12/09/2010","Sun","1455","CAR1 NBD on APPENZELL DRIVE hit CAR2 turning right onto APPENZELL DRIVE from the left","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction","Wet","Overcast","Light Rain","T Type Junction","Nil","0","0","1","1951788","5790742",
"APPENZELL DRIVE","","I","APPENZELL DRIVE","201037217","13/07/2010","Tue","1131","CAR1 NBD on APPENZELL DRIVE hit SUV2 turning right onto APPENZELL DRIVE from the left","SUV2 failed to give way to traffic approaching/crossing from the right, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Nil","0","0","0","1951780","5790746",
"APPENZELL DRIVE","90","W","THE FAIRWAY","2936774","19/05/2009","Tue","0930","CAR1 NBD on APPENZELL DRIVE hit parked veh, CAR1 hit Parked Vehicle","CAR1 too far left/right","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1951538","5790811",
"ARABIAN DRIVE","10","E","PALOMINO PLACE","2837015","18/05/2008","Sun","0759","CAR1 EBD on ARABIAN DRIVE hit parked veh, CAR1 hit Parked Vehicle","CAR1 too far left/right, attention diverted by driver dazzled by sun/lights  ENV: dazzling sun","Dry","Bright Sun","Fine","T Type Junction","Nil","0","0","0","1887473","5822741",
"ARAHIWI ROAD","","A","ACHILLES ROAD ACCESS","2938620","29/03/2009","Sun","1740","CAR1 NBD on ARAHIWI ROAD lost control; went off road to left, CAR1 hit Fence","CAR1 too fast on straight, inattentive","Dry","Dark","Fine","T Type Junction","Nil","0","0","0","1868972","5778588",
"ARAHORI ST","70","W","TAUPAHI ROAD","201201918","24/03/2012","Sat","2050","CAR1 EBD on ARAHORI ST hit parked veh, CAR1 hit Parked Vehicle","CAR1 too far left/right, impared ability due to old age  ENV: heavy rain","Wet","Dark","Heavy Rain","Unknown","N/A","0","0","1","1843648","5680376",
"ARAPUNI ROAD","210","E","BURNETT ROAD","201234063","18/06/2012","Mon","0145","SUV1 SBD on ARAPUNI ROAD lost control; went off road to left, SUV1 hit Fence, Traffic Sign, Tree","SUV1 fatigue (drowsy, tired, fell asleep)  ENV: road slippery (frost or ice)","Ice/ Snow","Dark","Fine","Unknown","N/A","0","0","0","1835458","5784409",
"ARAPUNI ROAD","","I","COATES ROAD","2905591","05/12/2009","Sat","0352","CAR1 SBD on ARAPUNI ROAD lost control turning left, CAR1 hit Phone Box Etc., Post Or Pole","CAR1 alcohol suspected, too fast entering corner, lost control  ENV: heavy rain","Wet","Dark","Heavy Rain","T Type Junction","Nil","0","1","1","1832108","5782650",
"ARAPUNI ROAD","930","E","HILDRETH ROAD","2931335","29/01/2009","Thu","1347","CAR1 EBD on ARAPUNI ROAD overtaking hit TRUCK2 turning right","CAR1 overtaking vehicle signaling right turn  TRUCK2 didn't signal in time when turning right, didnt see/look when required to give way to traffic from another direction  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","N/A","0","0","0","1837910","5785374",
"ARAPUNI ROAD","1600","W","HILDRETH ROAD","2903411","20/06/2009","Sat","0946","CAR1 EBD on ARAPUNI ROAD lost control turning right, CAR1 hit Tree on right hand bend ","CAR1 lost control due to road conditions  ENV: road slippery (frost or ice)","Ice/ Snow","Bright Sun","Fine","Unknown","N/A","0","1","0","1835710","5784628",
"ARAPUNI ROAD","30","E","HORAHORA ROAD","201240380","21/11/2012","Wed","2245","CAR1 EBD on ARAPUNI ROAD lost control turning right, CAR1 hit Ditch on right hand bend ","CAR1 lost control end of seal, new driver showed inexperience, driver over-reacted  ENV: road surface under construction or maintenance, signs / signals necessary","Dry","Dark","Fine","Unknown","N/A","0","0","0","1834053","5784151",
"ARAPUNI ROAD","540","E","HUIHUITAHA ROAD","2904530","25/06/2009","Thu","1320","CAR1 WBD on ARAPUNI ROAD lost control turning left, CAR1 hit Tree","CAR1 too fast entering corner, lost control due to road conditions","Ice/ Snow","Bright Sun","Fine","Unknown","N/A","0","0","1","1835706","5784627",
"ARAPUNI ROAD","80","W","HUIHUITAHA ROAD","2945173","23/12/2009","Wed","1140","CAR1 WBD on ARAPUNI ROAD lost control turning right on right hand bend ","CAR1 too fast entering corner, lost control when turning, showing off racing","Dry","Overcast","Fine","Unknown","Nil","0","0","0","1835231","5784236",
"ARAPUNI ROAD","20","E","MANGAKARETU STM BR","201241287","22/09/2012","Sat","0420","CAR1 WBD on ARAPUNI ROAD lost control; went off road to left, CAR1 hit Bridge","CAR1 alcohol test below limit, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Unknown","N/A","0","0","0","1839966","5784149",
"ARAPUNI ROAD","1460","E","PEARSON ROAD","201037107","15/06/2010","Tue","1330","CAR1 EBD on ARAPUNI ROAD hit SUV2 manoeuvring, SUV2 hit Fence","CAR1 intentional collision  SUV2 evading enforcement","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1839720","5784033",
"ARAPUNI ROAD","110","N","PEARSON ROAD","201231556","13/05/2012","Sun","2050","CAR1 NBD on ARAPUNI ROAD lost control turning right on right hand bend ","CAR1 lost control due to road conditions  ENV: slippery, road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","0","1838456","5784733",
"ARAPUNI ROAD","110","N","PEARSON ROAD","201136583","02/05/2011","Mon","1003","SUV1 NBD on ARAPUNI ROAD lost control turning right, SUV1 went Over Bank on right hand bend ","SUV1 lost control when turning, driver over-reacted  ENV: slippery, heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","0","0","1838456","5784734",
"ARAPUNI ROAD","120","N","PEARSON ROAD","201033064","23/03/2010","Tue","1526","SUV1 NBD on ARAPUNI ROAD lost control turning right, SUV1 hit Cliff Bank on right hand bend ","SUV1 lost control under heavy braking  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","0","1838453","5784743",
"ARAPUNI ROAD","120","N","PEARSON ROAD","201005277","13/11/2010","Sat","2304","CAR1 NBD on ARAPUNI ROAD lost control turning right, CAR1 hit Cliff Bank, Traffic Sign on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","1","1838453","5784743",
"ARAPUNI ROAD","170","N","PEARSON ROAD","201132515","05/04/2011","Tue","0830","CAR1 NBD on ARAPUNI ROAD lost control turning right, CAR1 went Over Bank on right hand bend ","CAR1 too fast entering corner, lost control when turning, driver over-reacted  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","0","1838453","5784792",
"ARAPUNI ROAD","170","N","PEARSON ROAD","201031230","02/03/2010","Tue","1520","TRUCK1 NBD on ARAPUNI ROAD lost control turning right, TRUCK1 went Over Bank on right hand bend ","TRUCK1 too fast entering corner, lost control when turning  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","0","1838454","5784792",
