"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"EAST BANK ROAD","460","N","SH 2","2904581","18/09/2009","Fri","0509","SUV2 turning right hit by oncoming MOPED1 EBD on EAST BANK ROAD ","SUV2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction  ENV: road slippery (rain), entering or leaving private house / farm","Wet","Dark","Light Rain","Driveway","N/A","0","1","0","1936844","5789915",
"EASTERN TAUPO ARTIERIAL","","I","BROADLANDS OFF SBD","201135084","25/04/2011","Mon","0915","CAR1 SBD on EASTERN TAUPO ARTIERIAL missed inters or end of road, CAR1 went Over Bank, Traffic Island","CAR1 lost control under heavy braking, attention diverted while trying to find intersection  ENV: road slippery (rain)","Wet","Overcast","Light Rain","T Type Junction","Nil","0","0","0","1870921","5713757",
"EASTERN TAUPO ARTIERIAL","15","N","BROADLANDS ON NBD","201043403","29/12/2010","Wed","1500","CAR1 SBD on EASTERN TAUPO ARTIERIAL hit CAR2 U-turning from opposite direction of travel","CAR2 misjudged speed etc of vehicle coming from another dirn with right of way","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1870999","5713961",
"EASTERN TAUPO ARTIERIAL","600","S","BROADLANDS ON SBD","201230555","20/03/2012","Tue","1330","TRUCK1 NBD on EASTERN TAUPO ARTIERIAL lost control; went off road to left, TRUCK1 hit Guard Rail","TRUCK1 lost control  ENV: strong wind","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1870834","5713065",
"EASTERN TAUPO ARTIERIAL","500","S","CENTENNIAL DRIVE","201230661","04/04/2012","Wed","2317","CAR1 NBD on EASTERN TAUPO ARTIERIAL hit rear end of CAR2 stopped/moving slowly","CAR1 following too closely, failed to notice car slowing","Dry","Dark","Fine","Unknown","N/A","0","0","0","1870507","5715236",
"EASTERN TAUPO ARTIERIAL","1000","S","CENTENNIAL DRIVE","201104815","03/07/2011","Sun","1636","VAN1 SBD on EASTERN TAUPO ARTIERIAL lost control on straight and hit CAR2 head on, TRUCK3 hit Guard Rail","VAN1 attention diverted  TRUCK3 suddenly swerved to avoid vehicle","Dry","Overcast","Fine","Unknown","Nil","0","1","0","1870933","5714990",
"EASTERN TAUPO ARTIERIAL","2000","N","CENTENNIAL OFF NBD","201137203","04/09/2011","Sun","","CAR1 NBD on EASTERN TAUPO ARTIERIAL lost control; went off road to right","CAR1 lost control, suddenly swerved to avoid animal","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1869792","5717375",
"EASTERN TAUPO ARTIERIAL","350","N","CENTENNIAL ON NBD","201238919","07/10/2012","Sun","1158","CAR1 SBD on EASTERN TAUPO ARTIERIAL lost control on curve and hit TRUCK2 head on","CAR1 fatigue (drowsy, tired, fell asleep)","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1869828","5715869",
"EASTERN TAUPO ARTIERIAL","1000","N","CENTENNIAL ON NBD","201234055","06/06/2012","Wed","1730","CAR1 SBD on EASTERN TAUPO ARTIERIAL lost control while overtaking","CAR1 inattentive","Dry","Dark","Fine","Unknown","N/A","0","0","0","1869808","5716518",
"EASTERN TAUPO ARTIERIAL","70","S","SH 5","201135196","19/06/2011","Sun","1440","SUV1 SBD on EASTERN TAUPO ARTIERIAL hit TRUCK2 U-turning from same direction of travel","TRUCK2 didnt see/look behind when changing lanes, position or direction","Dry","Overcast","Fine","Unknown","N/A","0","0","0","1869840","5720354",
"EASTERN TAUPO ARTIERIAL","100","S","SH 5","201239379","30/10/2012","Tue","1445","CAR1 SBD on EASTERN TAUPO ARTIERIAL hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1869834","5720325",
"EASTERN TAUPO ARTIERIAL","1000","S","SH 5","201134619","22/01/2011","Sat","2210","CAR1 SBD on EASTERN TAUPO ARTIERIAL lost control; went off road to right, CAR1 hit Cliff Bank","CAR1 alcohol test above limit or test refused, lost control  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","0","0","1869655","5719443",
"EASTERN TAUPO ARTIERIAL","1000","S","SH 5","201104716","15/11/2011","Tue","2123","SUV1 SBD on EASTERN TAUPO ARTIERIAL lost control; went off road to left","SUV1 too far left/right, lost control","Dry","Dark","Fine","Unknown","N/A","0","0","1","1869655","5719443",
"EASTERN TAUPO ARTIERIAL","1700","S","SH 5","201138097","28/10/2011","Fri","2035","load or trailer from CAR1 SBD on EASTERN TAUPO ARTIERIAL ","CAR1 lost control due to vehicle fault, jack-knifed, puncture or blowout","Dry","Dark","Fine","Unknown","N/A","0","0","0","1869625","5718752",
"EASTERN TAUPO ARTIERIAL","1700","S","SH 5","201234924","26/06/2012","Tue","0850","CAR1 SBD on EASTERN TAUPO ARTIERIAL hit CAR2 U-turning from same direction of travel","CAR2 didnt see/look behind when changing lanes, position or direction  ENV: road slippery (rain)","Wet","Overcast","Light Rain","Unknown","N/A","0","0","0","1869625","5718752",
"EDGECUMBE ROAD","","I","ELEVENTH AVENUE","201240399","20/11/2012","Tue","1220","SUV1 SBD on EDGECUMBE ROAD turning right hit CAR2 turning right into EDGECUMBE ROAD ","SUV1 failed to give way at stop sign, misjudged intentions of another party","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","0","1878335","5823074",
"EDGECUMBE ROAD","170","S","FOURTEENTH AVENUE","2905706","17/12/2009","Thu","1544","CAR1 entering/leaving driveway hit PEDESTRIAN walking on footpath","CAR1 too fast for conditions, didnt see/look when required to give way to ped  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","N/A","0","0","2","1877881","5822541",
"EDGECUMBE ROAD","170","S","FOURTEENTH AVENUE","2945108","16/12/2009","Wed","0324","CAR1 SBD on EDGECUMBE ROAD missed inters or end of road, CAR1 hit Fence, Other","CAR1 drugs proven, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Unknown","Nil","0","0","0","1877881","5822541",
"EDGECUMBE ROAD","90","S","FOURTH AVENUE","201103676","24/07/2011","Sun","0340","CAR1 SBD on EDGECUMBE ROAD hit PEDESTRIAN","CAR1 alcohol test below limit, intentional collision  ENV: road slippery (rain), entering or leaving private house / farm","Wet","Dark","Light Rain","Driveway","N/A","0","1","0","1878750","5823770",
"EDGECUMBE ROAD","50","N","SIXTEENTH AVENUE","2930579","24/01/2009","Sat","1745","CAR1 NBD on EDGECUMBE ROAD hit Parked Vehicle while manoeuvring","CAR1 didnt see/look behind when reversing/manoeuvering  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","N/A","0","0","0","1877779","5822421",
"EDMUND ROAD","","I","ALISON ST","201102679","18/05/2011","Wed","1500","VAN1 NBD on EDMUND ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing road, running heedless of traffic","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","0","1","1881666","5774357",
"EDMUND ROAD","","I","ALISON ST","2902751","14/04/2009","Tue","0950","VAN1 NBD on EDMUND ROAD hit rear of CAR2 turning right from centre line","VAN1 following too closely, failed to notice indication of vehicle in front","Dry","Bright Sun","Fine","T Type Junction","Stop Sign","0","0","1","1881665","5774357",
