"meshblockID" "REGC06" "CON06" "MCON06" "AU06" "UA06" "GED02" "MED02" "TA06V2" "WARD06V2" "CB06V2" "TASUB06V2" "urbanRuralGrade" "mainUrbanArea" "code" "urbanRural" "area" "roadLength" "MB01" "AU06D" "UA06D" "TA06" "TA06D" "RC06" "RC06D" "DHB" "DHBD" "population" "X0.4.Years" "X10.14.Years" "X15.19.Years" "X20.24.Years" "X25.29.Years" "X30.34.Years" "X35.39.Years" "X40.44.Years" "X45.49.Years" "X50.54.Years" "X55.59.Years" "X5.9.Years" "X60.64.Years" "X65.Years.and.Over" "Asian.Ethnic.Groups" "European.Ethnic.Groups" "Female" "Male" "Maori.Ethnic.Group" "Median.Age" "MELAA.Ethnic.Groups" "Other.Ethnic.Groups" "Pacific.Peoples..Ethnic.Groups" "Total" "Total.People"
1226201 "04" "0403" "0402" "539400" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0372699568984416 0.270844883272373 NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0
1219401 "04" "0403" "0402" "539100" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0319902492388566 0.302743932802462 NA NA NA NA NA NA NA NA NA 99 6 21 9 3 3 12 12 6 6 3 6 9 0 6 3 33 48 51 63 22 0 6 3 198 96
1280802 "03" "0310" "0399" "541343" "502" "051" "7" "021" "02104" "02101" "02199" "Highly rural/remote area" "" "G" "rural" 4.02180657887319 2.09363991567258 1280802 "Iwitahi" "Rural (Incl.some Off Shore Islands)" 21 "Taupo District" 3 "Waikato Region" 6 "Lakes" 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0
1028802 "03" "0310" "0399" "532502" "502" "051" "7" "021" "02104" "02101" "02199" "Highly rural/remote area" "" "G" "rural" 113.23417922051 53.8269598720203 1028802 "Kuratau" "Rural (Incl.some Off Shore Islands)" 21 "Taupo District" 3 "Waikato Region" 6 "Lakes" 33 3 0 3 3 3 3 3 6 3 0 3 0 0 0 0 18 12 21 9 26 0 6 0 66 30
1185800 "04" "0401" "0401" "536620" "502" "009" "7" "022" "02203" "02299" "02299" "Rural area with moderate urban influence" "" "E" "rural" 4.97198618263255 4.7762611791704 1185800 "Minden" "Rural (Incl.some Off Shore Islands)" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 90 6 3 6 0 6 3 3 3 15 9 12 9 6 12 0 69 45 48 6 48 0 15 0 180 84
1281602 "03" "0310" "0399" "541343" "502" "051" "7" "021" "02104" "02101" "02199" "Rural area with moderate urban influence" "" "E" "rural" 23.0740281300417 28.4159070072968 1281602 "Iwitahi" "Rural (Incl.some Off Shore Islands)" 21 "Taupo District" 3 "Waikato Region" 6 "Lakes" 42 3 0 3 6 0 3 3 3 3 3 3 3 3 9 0 12 21 21 30 42 0 3 0 84 42
1186100 "04" "0401" "0401" "536620" "502" "009" "7" "022" "02203" "02299" "02299" "Rural area with low urban influence" "" "F" "rural" 1.40764091096666 0.531991916970414 1186100 "Minden" "Rural (Incl.some Off Shore Islands)" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 57 3 6 3 0 0 3 0 9 6 3 6 6 3 9 0 48 24 33 6 44 0 3 3 114 51
1193402 "04" "0401" "0401" "536630" "502" "004" "7" "022" "02203" "02299" "02299" "Rural area with moderate urban influence" "" "E" "rural" 5.5555579570901 3.45635414296639 1193402 "Kaimai" "Rural (Incl.some Off Shore Islands)" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 75 3 12 3 3 0 6 6 6 15 3 6 6 3 6 0 60 36 36 3 38 0 12 0 147 69
1192400 "04" "0401" "0401" "536630" "502" "004" "7" "022" "02203" "02299" "02299" "Rural area with high urban influence" "" "D" "rural" 5.87716789385692 6.78343208668044 1192400 "Kaimai" "Rural (Incl.some Off Shore Islands)" 22 "Western Bay of Plenty District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 342 21 24 24 6 6 15 24 42 36 18 27 36 15 51 6 285 174 168 24 42 0 33 0 687 327
1222600 "04" "0403" "0402" "540200" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0616598423442714 0.773457716967444 NA NA NA NA NA NA NA NA NA 162 18 9 15 9 9 12 12 6 6 6 12 18 9 18 0 69 93 69 102 32 0 15 0 318 156
1222402 "04" "0403" "0402" "540200" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0239317597434513 0.416716745109913 NA NA NA NA NA NA NA NA NA 42 6 3 3 6 0 0 3 0 6 3 6 3 3 6 3 12 21 21 24 46 0 3 12 84 39
1335800 "04" "0404" "0403" "542904" "502" "012" "7" "027" "02702" "02799" "02799" "Rural area with low urban influence" "" "F" "rural" 320.387153582761 26.6891281386274 1335800 "Oponae" "Rural (Incl.some Off Shore Islands)" 27 "Opotiki District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12 18 NA NA NA NA NA 54 18
1220800 "04" "0403" "0402" "539200" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0358607880471198 0.519389239181764 NA NA NA NA NA NA NA NA NA 78 9 9 0 6 9 9 3 6 3 6 0 3 6 6 6 33 36 39 27 30 0 3 9 156 66
1319400 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 0.036679942569682 0.530419208363341 1319400 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 126 12 21 9 3 3 6 9 6 3 3 9 12 9 18 0 48 60 66 81 32 0 3 9 246 108
1220002 "04" "0403" "0402" "539000" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0310228576386621 0.356392060424616 NA NA NA NA NA NA NA NA NA 150 18 24 12 6 9 18 12 6 6 0 6 24 6 3 0 81 75 75 96 17 0 6 18 300 141
1220300 "04" "0403" "0402" "539000" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0804011271635442 0.376650705254015 NA NA NA NA NA NA NA NA NA 135 15 12 15 18 12 9 6 6 6 9 6 9 6 9 6 66 69 66 72 24 0 6 9 270 132
1319500 "04" "0404" "0403" "542600" "239" "048" "7" "026" "02699" "02699" "02699" "Independent Urban Area" "" "B" "urban" 0.0265248472384939 0.32018399425614 1319500 "Kawerau" "Kawerau" 26 "Kawerau District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 93 6 18 9 0 6 6 3 6 3 0 3 12 3 6 0 27 42 48 69 18 0 9 9 183 93
