"crashID" "meshblockID"
"2902064" "1279502"
"201204458" "1279038"
"201205273" "1279601"
"201000164" "1204401"
"201204361" "1309400"
"2805129" "1309400"
"2903435" "1212101"
"201101503" "1250100"
"2905591" "1126200"
"2903411" "1125500"
"201000040" "1128100"
"201201059" "1131101"
"2804355" "1131000"
"201102076" "1131101"
"2903420" "1279802"
"201002211" "1208500"
"201201091" "1208800"
"2800072" "1145700"
"2902728" "1309300"
"2906199" "1325600"
"2803365" "1325600"
"2901232" "1267200"
"2806068" "1200700"
"201200088" "1299500"
"201205251" "1188900"
"201102042" "1183300"
"201003412" "1215200"
"201004158" "1214900"
"201104675" "1247700"
"201201320" "1191801"
"2802370" "1207003"
"2905723" "1338701"
"2804178" "1159402"
"201201334" "1214900"
"201201335" "1190303"
"201204329" "1162600"
"2900003" "1260700"
"201004806" "1335300"
"2806287" "1172200"
"201002380" "1325904"
"201201045" "1325800"
"201006135" "1261500"
"201203728" "1279906"
"201201262" "1261400"
"201003211" "1270600"
"201101499" "1261602"
"2904625" "1280603"
"2800006" "1261604"
"2902384" "1280603"
"201004316" "1280603"
"201003706" "1191002"
"201102972" "1161400"
"2805220" "1161400"
"201001052" "1191001"
"2803528" "1170900"
"201101418" "1170900"
"201103959" "1163200"
"201204823" "1175300"
"201002218" "1163200"
"2806415" "1163200"
"201102816" "1214900"
"2905633" "1170700"
"2805335" "1172600"
"2902320" "1172600"
"2901395" "1164700"
"2903755" "1171700"
"2903739" "1165200"
"201004846" "1167100"
"201205253" "1170002"
"201101515" "1170002"
"2902735" "1170002"
"2804371" "1171500"
"201005999" "1171600"
"2901741" "1181001"
"201003204" "1279905"
"201103279" "1176500"
"201003766" "1176500"
"201002823" "1340200"
"2900073" "1339700"
"201101097" "1340900"
"201001362" "1217600"
"201204446" "1224800"
"201201105" "1224800"
"201103931" "1230801"
"201105635" "1230801"
"201002381" "1306000"
"2806019" "1306000"
"201200062" "1307900"
"201200028" "1333600"
"201202290" "1189800"
"2805944" "1189800"
"201003527" "1212606"
"201103773" "1265308"
"2805241" "1240800"
"201005212" "1240600"
"201003200" "1165000"
"2902323" "1167700"
"201205404" "1163100"
"201003238" "1305400"
"201201926" "1307600"
"201104745" "1205005"
"2904564" "1205005"
"201102592" "1308900"
"201206058" "1141100"
"2800003" "1259700"
"2904581" "1300100"
