"meshblockID" "urbanRuralGrade" "code" "urbanRural"
1330002 "Rural area with moderate urban influence" "E" "rural"
1218100 "Main urban area" "A" "urban"
1230711 "Main urban area" "A" "urban"
767302 "Main urban area" "A" "urban"
1056602 "Highly rural/remote area" "G" "rural"
1295600 "Rural area with low urban influence" "F" "rural"
1219300 "Main urban area" "A" "urban"
1060211 "Highly rural/remote area" "G" "rural"
766700 "Main urban area" "A" "urban"
1256700 "Main urban area" "A" "urban"
1230712 "Main urban area" "A" "urban"
768008 "Main urban area" "A" "urban"
774449 "Main urban area" "A" "urban"
772602 "Main urban area" "A" "urban"
769011 "Main urban area" "A" "urban"
769012 "Main urban area" "A" "urban"
770300 "Main urban area" "A" "urban"
1060104 "Rural area with low urban influence" "F" "rural"
763700 "Main urban area" "A" "urban"
764202 "Highly rural/remote area" "G" "rural"
774439 "Main urban area" "A" "urban"
770500 "Main urban area" "A" "urban"
769022 "Main urban area" "A" "urban"
1224000 "Main urban area" "A" "urban"
1256800 "Main urban area" "A" "urban"
1226201 "Main urban area" "A" "urban"
1219401 "Main urban area" "A" "urban"
1394100 "Highly rural/remote area" "G" "rural"
1033300 "Independent Urban Area" "B" "urban"
1394000 "Highly rural/remote area" "G" "rural"
1280802 "Highly rural/remote area" "G" "rural"
772601 "Main urban area" "A" "urban"
774303 "Main urban area" "A" "urban"
1028802 "Highly rural/remote area" "G" "rural"
773815 "Main urban area" "A" "urban"
770400 "Main urban area" "A" "urban"
1394200 "Highly rural/remote area" "G" "rural"
1185800 "Rural area with moderate urban influence" "E" "rural"
1394804 "Highly rural/remote area" "G" "rural"
1092402 "Independent Urban Area" "B" "urban"
1031600 "Independent Urban Area" "B" "urban"
1110000 "Rural area with low urban influence" "F" "rural"
949700 "Main urban area" "A" "urban"
1092700 "Rural area with low urban influence" "F" "rural"
1097400 "Rural area with low urban influence" "F" "rural"
949602 "Main urban area" "A" "urban"
1109300 "Rural area with low urban influence" "F" "rural"
1281602 "Rural area with moderate urban influence" "E" "rural"
1031701 "Independent Urban Area" "B" "urban"
950000 "Main urban area" "A" "urban"
1186100 "Rural area with low urban influence" "F" "rural"
912600 "Main urban area" "A" "urban"
915300 "Main urban area" "A" "urban"
885200 "Main urban area" "A" "urban"
919100 "Main urban area" "A" "urban"
860500 "Rural area with low urban influence" "F" "rural"
1193402 "Rural area with moderate urban influence" "E" "rural"
919000 "Main urban area" "A" "urban"
1192400 "Rural area with high urban influence" "D" "rural"
916200 "Main urban area" "A" "urban"
921603 "Main urban area" "A" "urban"
84900 "Main urban area" "A" "urban"
439604 "Highly rural/remote area" "G" "rural"
157400 "Main urban area" "A" "urban"
2785100 "Independent Urban Area" "B" "urban"
2789700 "Independent Urban Area" "B" "urban"
203300 "Main urban area" "A" "urban"
2795700 "Independent Urban Area" "B" "urban"
2775701 "Independent Urban Area" "B" "urban"
425701 "Main urban area" "A" "urban"
2795400 "Independent Urban Area" "B" "urban"
2775300 "Independent Urban Area" "B" "urban"
420100 "Main urban area" "A" "urban"
2774905 "Independent Urban Area" "B" "urban"
2795500 "Independent Urban Area" "B" "urban"
463200 "Main urban area" "A" "urban"
2794100 "Independent Urban Area" "B" "urban"
2780800 "Independent Urban Area" "B" "urban"
558800 "Main urban area" "A" "urban"
2780900 "Independent Urban Area" "B" "urban"
2794200 "Independent Urban Area" "B" "urban"
2356900 "Rural area with moderate urban influence" "E" "rural"
2187803 "Main urban area" "A" "urban"
573900 "Main urban area" "A" "urban"
2794300 "Independent Urban Area" "B" "urban"
2775600 "Independent Urban Area" "B" "urban"
2192302 "Main urban area" "A" "urban"
2215000 "Main urban area" "A" "urban"
2788000 "Independent Urban Area" "B" "urban"
2794400 "Independent Urban Area" "B" "urban"
2216200 "Main urban area" "A" "urban"
2365704 "Main urban area" "A" "urban"
2366202 "Main urban area" "A" "urban"
2191302 "Main urban area" "A" "urban"
2366305 "Main urban area" "A" "urban"
2192900 "Main urban area" "A" "urban"
2366109 "Main urban area" "A" "urban"
2192301 "Main urban area" "A" "urban"
2366404 "Main urban area" "A" "urban"
2366107 "Main urban area" "A" "urban"
2365711 "Main urban area" "A" "urban"
2194003 "Main urban area" "A" "urban"
2786602 "Independent Urban Area" "B" "urban"
2794800 "Independent Urban Area" "B" "urban"
2790500 "Independent Urban Area" "B" "urban"
2786601 "Independent Urban Area" "B" "urban"
2964800 "Main urban area" "A" "urban"
2903600 "Main urban area" "A" "urban"
2901000 "Main urban area" "A" "urban"
61807 "Main urban area" "A" "urban"
2898800 "Main urban area" "A" "urban"
439603 "Highly rural/remote area" "G" "rural"
2358002 "Main urban area" "A" "urban"
2194600 "Main urban area" "A" "urban"
2894600 "Main urban area" "A" "urban"
178705 "Main urban area" "A" "urban"
2191301 "Main urban area" "A" "urban"
2366108 "Main urban area" "A" "urban"
2963100 "Main urban area" "A" "urban"
2504115 "Main urban area" "A" "urban"
516507 "Satellite Urban Area" "C" "urban"
2904900 "Main urban area" "A" "urban"
2504004 "Main urban area" "A" "urban"
226301 "Main urban area" "A" "urban"
2964700 "Main urban area" "A" "urban"
2504108 "Main urban area" "A" "urban"
233300 "Main urban area" "A" "urban"
2510202 "Main urban area" "A" "urban"
240900 "Main urban area" "A" "urban"
2504114 "Main urban area" "A" "urban"
628002 "Main urban area" "A" "urban"
2504109 "Main urban area" "A" "urban"
264300 "Main urban area" "A" "urban"
2464300 "Rural area with high urban influence" "D" "rural"
2504110 "Main urban area" "A" "urban"
2964600 "Main urban area" "A" "urban"
2965100 "Main urban area" "A" "urban"
2058702 "Main urban area" "A" "urban"
2269600 "Satellite Urban Area" "C" "urban"
1889900 "Main urban area" "A" "urban"
1887600 "Main urban area" "A" "urban"
2037100 "Main urban area" "A" "urban"
1887400 "Main urban area" "A" "urban"
2509902 "Main urban area" "A" "urban"
2256700 "Highly rural/remote area" "G" "rural"
1892500 "Main urban area" "A" "urban"
2509901 "Main urban area" "A" "urban"
2624401 "Main urban area" "A" "urban"
2272200 "Rural area with moderate urban influence" "E" "rural"
2268700 "Satellite Urban Area" "C" "urban"
2660500 "Main urban area" "A" "urban"
1908400 "Main urban area" "A" "urban"
1890300 "Main urban area" "A" "urban"
1424600 "Main urban area" "A" "urban"
1429700 "Main urban area" "A" "urban"
69000 "Rural area with high urban influence" "D" "rural"
2642300 "Main urban area" "A" "urban"
1906100 "Main urban area" "A" "urban"
2038000 "Main urban area" "A" "urban"
1431800 "Main urban area" "A" "urban"
1423000 "Main urban area" "A" "urban"
439800 "Highly rural/remote area" "G" "rural"
2489900 "Main urban area" "A" "urban"
2058701 "Main urban area" "A" "urban"
2038202 "Main urban area" "A" "urban"
1401301 "Main urban area" "A" "urban"
1422800 "Main urban area" "A" "urban"
161900 "Main urban area" "A" "urban"
2489807 "Main urban area" "A" "urban"
1654500 "Independent Urban Area" "B" "urban"
1429800 "Main urban area" "A" "urban"
341200 "Main urban area" "A" "urban"
2590204 "Main urban area" "A" "urban"
1429000 "Main urban area" "A" "urban"
1419800 "Main urban area" "A" "urban"
358424 "Area outside urban/rural profile" "Z" NA
2498901 "Main urban area" "A" "urban"
1422900 "Main urban area" "A" "urban"
1429900 "Main urban area" "A" "urban"
466700 "Main urban area" "A" "urban"
2583500 "Main urban area" "A" "urban"
1425902 "Main urban area" "A" "urban"
1420700 "Main urban area" "A" "urban"
476500 "Main urban area" "A" "urban"
1427911 "Area outside urban/rural profile" "Z" NA
1428500 "Main urban area" "A" "urban"
271800 "Main urban area" "A" "urban"
595700 "Main urban area" "A" "urban"
1887500 "Main urban area" "A" "urban"
2056607 "Main urban area" "A" "urban"
1892600 "Main urban area" "A" "urban"
