mb06,Urban/Rural Profile Classification Category,Main urban areas
0608319,Area outside urban/rural profile,
0608322,Area outside urban/rural profile,
0608323,Area outside urban/rural profile,
0608328,Area outside urban/rural profile,
0608331,Area outside urban/rural profile,
0608332,Area outside urban/rural profile,
0608333,Area outside urban/rural profile,
0608334,Area outside urban/rural profile,
0608335,Area outside urban/rural profile,
0608337,Area outside urban/rural profile,
0608338,Area outside urban/rural profile,
0608339,Area outside urban/rural profile,
0608340,Area outside urban/rural profile,
0608341,Area outside urban/rural profile,
0608342,Area outside urban/rural profile,
0608343,Area outside urban/rural profile,
0608344,Area outside urban/rural profile,
0608345,Area outside urban/rural profile,
0608347,Area outside urban/rural profile,
0608349,Area outside urban/rural profile,
0608350,Area outside urban/rural profile,
0608351,Area outside urban/rural profile,
0608352,Area outside urban/rural profile,
0608353,Area outside urban/rural profile,
0608354,Area outside urban/rural profile,
0608355,Area outside urban/rural profile,
0608356,Area outside urban/rural profile,
0608357,Area outside urban/rural profile,
0608358,Area outside urban/rural profile,
0608359,Area outside urban/rural profile,
0608360,Area outside urban/rural profile,
0608361,Area outside urban/rural profile,
0608362,Area outside urban/rural profile,
0629000,Area outside urban/rural profile,
0634304,Area outside urban/rural profile,
0634307,Area outside urban/rural profile,
0634308,Area outside urban/rural profile,
0634317,Area outside urban/rural profile,
0634319,Area outside urban/rural profile,
0634326,Area outside urban/rural profile,
0634331,Area outside urban/rural profile,
0634333,Area outside urban/rural profile,
0634334,Area outside urban/rural profile,
0634335,Area outside urban/rural profile,
0634336,Area outside urban/rural profile,
0634337,Area outside urban/rural profile,
0634340,Area outside urban/rural profile,
0634341,Area outside urban/rural profile,
0634342,Area outside urban/rural profile,
0634343,Area outside urban/rural profile,
0634344,Area outside urban/rural profile,
0634345,Area outside urban/rural profile,
0634346,Area outside urban/rural profile,
0634347,Area outside urban/rural profile,
0634348,Area outside urban/rural profile,
0634349,Area outside urban/rural profile,
0634350,Area outside urban/rural profile,
0634351,Area outside urban/rural profile,
0634352,Area outside urban/rural profile,
0634354,Area outside urban/rural profile,
0634355,Area outside urban/rural profile,
0634356,Area outside urban/rural profile,
0634357,Area outside urban/rural profile,
0634358,Area outside urban/rural profile,
0634359,Area outside urban/rural profile,
0634360,Area outside urban/rural profile,
0634361,Area outside urban/rural profile,
0634362,Area outside urban/rural profile,
0634363,Area outside urban/rural profile,
0634364,Area outside urban/rural profile,
0634365,Area outside urban/rural profile,
0634366,Area outside urban/rural profile,
0634367,Area outside urban/rural profile,
0634368,Area outside urban/rural profile,
0634371,Area outside urban/rural profile,
0634372,Area outside urban/rural profile,
0634373,Area outside urban/rural profile,
0634374,Area outside urban/rural profile,
0634375,Area outside urban/rural profile,
0634376,Area outside urban/rural profile,
0634377,Area outside urban/rural profile,
0634378,Area outside urban/rural profile,
0634379,Area outside urban/rural profile,
0634380,Area outside urban/rural profile,
0634381,Area outside urban/rural profile,
0726100,Area outside urban/rural profile,
0764600,Area outside urban/rural profile,
0806504,Area outside urban/rural profile,
0806505,Area outside urban/rural profile,
0809501,Area outside urban/rural profile,
0809502,Area outside urban/rural profile,
0832602,Area outside urban/rural profile,
0835700,Area outside urban/rural profile,
0837900,Area outside urban/rural profile,
0838001,Area outside urban/rural profile,
0838002,Area outside urban/rural profile,
0847101,Area outside urban/rural profile,
0862201,Area outside urban/rural profile,
0862203,Area outside urban/rural profile,
0862204,Area outside urban/rural profile,
0862205,Area outside urban/rural profile,
0862207,Area outside urban/rural profile,
0862209,Area outside urban/rural profile,
0862210,Area outside urban/rural profile,
0862301,Area outside urban/rural profile,
0862302,Area outside urban/rural profile,
0862303,Area outside urban/rural profile,
0929501,Area outside urban/rural profile,
0938702,Area outside urban/rural profile,
0939301,Area outside urban/rural profile,
1005001,Area outside urban/rural profile,
1005002,Area outside urban/rural profile,
1020901,Area outside urban/rural profile,
1020902,Area outside urban/rural profile,
1042900,Area outside urban/rural profile,
1043301,Area outside urban/rural profile,
1043302,Area outside urban/rural profile,
1043400,Area outside urban/rural profile,
1045200,Area outside urban/rural profile,
1045301,Area outside urban/rural profile,
1045302,Area outside urban/rural profile,
1046301,Area outside urban/rural profile,
1046302,Area outside urban/rural profile,
1047400,Area outside urban/rural profile,
1047804,Area outside urban/rural profile,
1048301,Area outside urban/rural profile,
1048302,Area outside urban/rural profile,
1048404,Area outside urban/rural profile,
1048408,Area outside urban/rural profile,
1048500,Area outside urban/rural profile,
1048602,Area outside urban/rural profile,
1048603,Area outside urban/rural profile,
1048605,Area outside urban/rural profile,
1048606,Area outside urban/rural profile,
1049300,Area outside urban/rural profile,
1050000,Area outside urban/rural profile,
1053500,Area outside urban/rural profile,
1059208,Area outside urban/rural profile,
1059701,Area outside urban/rural profile,
1060404,Area outside urban/rural profile,
1060601,Area outside urban/rural profile,
1061702,Area outside urban/rural profile,
1061703,Area outside urban/rural profile,
1061704,Area outside urban/rural profile,
1162902,Area outside urban/rural profile,
1165900,Area outside urban/rural profile,
1170300,Area outside urban/rural profile,
1174603,Area outside urban/rural profile,
1174604,Area outside urban/rural profile,
1180308,Area outside urban/rural profile,
1180309,Area outside urban/rural profile,
1180501,Area outside urban/rural profile,
1180502,Area outside urban/rural profile,
1180901,Area outside urban/rural profile,
1180902,Area outside urban/rural profile,
1180903,Area outside urban/rural profile,
1182000,Area outside urban/rural profile,
1182400,Area outside urban/rural profile,
1184402,Area outside urban/rural profile,
1184700,Area outside urban/rural profile,
1185700,Area outside urban/rural profile,
1186600,Area outside urban/rural profile,
1187600,Area outside urban/rural profile,
1187800,Area outside urban/rural profile,
1188700,Area outside urban/rural profile,
1188805,Area outside urban/rural profile,
1188806,Area outside urban/rural profile,
1188807,Area outside urban/rural profile,
1204507,Area outside urban/rural profile,
1204508,Area outside urban/rural profile,
1204509,Area outside urban/rural profile,
1204510,Area outside urban/rural profile,
1204511,Area outside urban/rural profile,
1204512,Area outside urban/rural profile,
1204513,Area outside urban/rural profile,
1205601,Area outside urban/rural profile,
1205602,Area outside urban/rural profile,
1205603,Area outside urban/rural profile,
1205700,Area outside urban/rural profile,
1205800,Area outside urban/rural profile,
1206100,Area outside urban/rural profile,
1209001,Area outside urban/rural profile,
1209100,Area outside urban/rural profile,
1209501,Area outside urban/rural profile,
1209801,Area outside urban/rural profile,
1212610,Area outside urban/rural profile,
1251800,Area outside urban/rural profile,
1252201,Area outside urban/rural profile,
1252501,Area outside urban/rural profile,
1252604,Area outside urban/rural profile,
1253001,Area outside urban/rural profile,
1258402,Area outside urban/rural profile,
1258403,Area outside urban/rural profile,
1258702,Area outside urban/rural profile,
1258901,Area outside urban/rural profile,
1258903,Area outside urban/rural profile,
1259401,Area outside urban/rural profile,
1264800,Area outside urban/rural profile,
1275302,Area outside urban/rural profile,
1288803,Area outside urban/rural profile,
1296602,Area outside urban/rural profile,
1313703,Area outside urban/rural profile,
1313704,Area outside urban/rural profile,
1313801,Area outside urban/rural profile,
1338107,Area outside urban/rural profile,
1338108,Area outside urban/rural profile,
1387900,Area outside urban/rural profile,
1394801,Area outside urban/rural profile,
1401802,Area outside urban/rural profile,
1401804,Area outside urban/rural profile,
1419500,Area outside urban/rural profile,
1427901,Area outside urban/rural profile,
1427902,Area outside urban/rural profile,
1427903,Area outside urban/rural profile,
1427905,Area outside urban/rural profile,
1427906,Area outside urban/rural profile,
1427908,Area outside urban/rural profile,
1427909,Area outside urban/rural profile,
1427910,Area outside urban/rural profile,
1427911,Area outside urban/rural profile,
1427912,Area outside urban/rural profile,
1427913,Area outside urban/rural profile,
1511900,Area outside urban/rural profile,
1587901,Area outside urban/rural profile,
1587910,Area outside urban/rural profile,
1587913,Area outside urban/rural profile,
1587914,Area outside urban/rural profile,
1587915,Area outside urban/rural profile,
1587916,Area outside urban/rural profile,
1587917,Area outside urban/rural profile,
1587918,Area outside urban/rural profile,
1587919,Area outside urban/rural profile,
1587920,Area outside urban/rural profile,
1587921,Area outside urban/rural profile,
1587922,Area outside urban/rural profile,
1588000,Area outside urban/rural profile,
1598402,Area outside urban/rural profile,
1598502,Area outside urban/rural profile,
1598602,Area outside urban/rural profile,
1603302,Area outside urban/rural profile,
1671101,Area outside urban/rural profile,
1671102,Area outside urban/rural profile,
1671103,Area outside urban/rural profile,
1727601,Area outside urban/rural profile,
1727604,Area outside urban/rural profile,
1727605,Area outside urban/rural profile,
1727606,Area outside urban/rural profile,
1727607,Area outside urban/rural profile,
1981201,Area outside urban/rural profile,
1981203,Area outside urban/rural profile,
1981204,Area outside urban/rural profile,
2036201,Area outside urban/rural profile,
2036202,Area outside urban/rural profile,
2056605,Area outside urban/rural profile,
2056606,Area outside urban/rural profile,
2072702,Area outside urban/rural profile,
2072705,Area outside urban/rural profile,
2072706,Area outside urban/rural profile,
2072708,Area outside urban/rural profile,
2072709,Area outside urban/rural profile,
2072710,Area outside urban/rural profile,
2072711,Area outside urban/rural profile,
2072712,Area outside urban/rural profile,
2072713,Area outside urban/rural profile,
2137105,Area outside urban/rural profile,
2137107,Area outside urban/rural profile,
2137108,Area outside urban/rural profile,
2137201,Area outside urban/rural profile,
2137203,Area outside urban/rural profile,
2137204,Area outside urban/rural profile,
2137304,Area outside urban/rural profile,
2137307,Area outside urban/rural profile,
2137309,Area outside urban/rural profile,
2137312,Area outside urban/rural profile,
2137313,Area outside urban/rural profile,
2137315,Area outside urban/rural profile,
2137316,Area outside urban/rural profile,
2137317,Area outside urban/rural profile,
2137318,Area outside urban/rural profile,
2137319,Area outside urban/rural profile,
2137320,Area outside urban/rural profile,
2137321,Area outside urban/rural profile,
2137322,Area outside urban/rural profile,
2137323,Area outside urban/rural profile,
2137324,Area outside urban/rural profile,
2137325,Area outside urban/rural profile,
2272702,Area outside urban/rural profile,
2272902,Area outside urban/rural profile,
2273102,Area outside urban/rural profile,
2279801,Area outside urban/rural profile,
2279903,Area outside urban/rural profile,
2280402,Area outside urban/rural profile,
2282502,Area outside urban/rural profile,
2283000,Area outside urban/rural profile,
2284602,Area outside urban/rural profile,
2284700,Area outside urban/rural profile,
2284802,Area outside urban/rural profile,
2285102,Area outside urban/rural profile,
2285302,Area outside urban/rural profile,
2285900,Area outside urban/rural profile,
2286402,Area outside urban/rural profile,
2286403,Area outside urban/rural profile,
2286800,Area outside urban/rural profile,
2292303,Area outside urban/rural profile,
2310001,Area outside urban/rural profile,
2316001,Area outside urban/rural profile,
2325201,Area outside urban/rural profile,
2332901,Area outside urban/rural profile,
2332903,Area outside urban/rural profile,
2332905,Area outside urban/rural profile,
2332906,Area outside urban/rural profile,
2332907,Area outside urban/rural profile,
2332908,Area outside urban/rural profile,
2336104,Area outside urban/rural profile,
2336202,Area outside urban/rural profile,
2348202,Area outside urban/rural profile,
2348605,Area outside urban/rural profile,
2349901,Area outside urban/rural profile,
2349902,Area outside urban/rural profile,
2349903,Area outside urban/rural profile,
2349904,Area outside urban/rural profile,
2349907,Area outside urban/rural profile,
2349908,Area outside urban/rural profile,
2350305,Area outside urban/rural profile,
2350602,Area outside urban/rural profile,
2350704,Area outside urban/rural profile,
2357103,Area outside urban/rural profile,
2357704,Area outside urban/rural profile,
2357705,Area outside urban/rural profile,
2359406,Area outside urban/rural profile,
2359409,Area outside urban/rural profile,
2372802,Area outside urban/rural profile,
2373502,Area outside urban/rural profile,
2380500,Area outside urban/rural profile,
2382602,Area outside urban/rural profile,
2383101,Area outside urban/rural profile,
2383804,Area outside urban/rural profile,
2394501,Area outside urban/rural profile,
2394502,Area outside urban/rural profile,
2401401,Area outside urban/rural profile,
2413800,Area outside urban/rural profile,
2414801,Area outside urban/rural profile,
2414802,Area outside urban/rural profile,
2416403,Area outside urban/rural profile,
2416802,Area outside urban/rural profile,
2416803,Area outside urban/rural profile,
2417501,Area outside urban/rural profile,
2417702,Area outside urban/rural profile,
2418204,Area outside urban/rural profile,
2421402,Area outside urban/rural profile,
2433302,Area outside urban/rural profile,
2460502,Area outside urban/rural profile,
2555500,Area outside urban/rural profile,
2555800,Area outside urban/rural profile,
2700800,Area outside urban/rural profile,
2700900,Area outside urban/rural profile,
2701000,Area outside urban/rural profile,
2702601,Area outside urban/rural profile,
2702602,Area outside urban/rural profile,
2711701,Area outside urban/rural profile,
2712200,Area outside urban/rural profile,
2712401,Area outside urban/rural profile,
2712402,Area outside urban/rural profile,
2712403,Area outside urban/rural profile,
2712404,Area outside urban/rural profile,
2712405,Area outside urban/rural profile,
2712406,Area outside urban/rural profile,
2712407,Area outside urban/rural profile,
2712410,Area outside urban/rural profile,
2712412,Area outside urban/rural profile,
2712413,Area outside urban/rural profile,
2712414,Area outside urban/rural profile,
2712415,Area outside urban/rural profile,
2712417,Area outside urban/rural profile,
2712418,Area outside urban/rural profile,
2712419,Area outside urban/rural profile,
2712420,Area outside urban/rural profile,
2712421,Area outside urban/rural profile,
2712422,Area outside urban/rural profile,
2713501,Area outside urban/rural profile,
2713602,Area outside urban/rural profile,
2716601,Area outside urban/rural profile,
2716602,Area outside urban/rural profile,
2716802,Area outside urban/rural profile,
2716900,Area outside urban/rural profile,
2717600,Area outside urban/rural profile,
2722503,Area outside urban/rural profile,
2722504,Area outside urban/rural profile,
2755602,Area outside urban/rural profile,
2804001,Area outside urban/rural profile,
2804004,Area outside urban/rural profile,
2804005,Area outside urban/rural profile,
2804006,Area outside urban/rural profile,
2812801,Area outside urban/rural profile,
2813201,Area outside urban/rural profile,
2813902,Area outside urban/rural profile,
2814002,Area outside urban/rural profile,
2814101,Area outside urban/rural profile,
2825702,Area outside urban/rural profile,
2825703,Area outside urban/rural profile,
2848801,Area outside urban/rural profile,
2848804,Area outside urban/rural profile,
2848805,Area outside urban/rural profile,
2848806,Area outside urban/rural profile,
2849903,Area outside urban/rural profile,
2851402,Area outside urban/rural profile,
2852202,Area outside urban/rural profile,
2856101,Area outside urban/rural profile,
2856601,Area outside urban/rural profile,
2858601,Area outside urban/rural profile,
2859500,Area outside urban/rural profile,
2860200,Area outside urban/rural profile,
2862600,Area outside urban/rural profile,
2863000,Area outside urban/rural profile,
2864001,Area outside urban/rural profile,
2909101,Area outside urban/rural profile,
2909102,Area outside urban/rural profile,
2909105,Area outside urban/rural profile,
2909106,Area outside urban/rural profile,
2909108,Area outside urban/rural profile,
2909109,Area outside urban/rural profile,
2909110,Area outside urban/rural profile,
2909113,Area outside urban/rural profile,
2909115,Area outside urban/rural profile,
2909116,Area outside urban/rural profile,
2909117,Area outside urban/rural profile,
2909121,Area outside urban/rural profile,
2909122,Area outside urban/rural profile,
2909123,Area outside urban/rural profile,
2909124,Area outside urban/rural profile,
2909125,Area outside urban/rural profile,
2909126,Area outside urban/rural profile,
2909127,Area outside urban/rural profile,
2909128,Area outside urban/rural profile,
2909129,Area outside urban/rural profile,
2909130,Area outside urban/rural profile,
2987502,Area outside urban/rural profile,
2999101,Area outside urban/rural profile,
3006601,Area outside urban/rural profile,
3008202,Area outside urban/rural profile,
3027801,Area outside urban/rural profile,
3036702,Area outside urban/rural profile,
3038208,Area outside urban/rural profile,
3039516,Area outside urban/rural profile,
3039705,Area outside urban/rural profile,
3040300,Area outside urban/rural profile,
3040603,Area outside urban/rural profile,
3083600,Area outside urban/rural profile,
3097704,Area outside urban/rural profile,
3105900,Area outside urban/rural profile,
3154204,Area outside urban/rural profile,
3159701,Area outside urban/rural profile,
3159902,Area outside urban/rural profile,
3160102,Area outside urban/rural profile,
3162602,Area outside urban/rural profile,
3166401,Area outside urban/rural profile,
3166402,Area outside urban/rural profile,
3166502,Area outside urban/rural profile,
3166503,Area outside urban/rural profile,
3166600,Area outside urban/rural profile,
3166704,Area outside urban/rural profile,
3166705,Area outside urban/rural profile,
3166706,Area outside urban/rural profile,
3166708,Area outside urban/rural profile,
3166709,Area outside urban/rural profile,
3166710,Area outside urban/rural profile,
3166711,Area outside urban/rural profile,
3169702,Area outside urban/rural profile,
3169705,Area outside urban/rural profile,
3173000,Area outside urban/rural profile,
3173100,Area outside urban/rural profile,
3173302,Area outside urban/rural profile,
3173404,Area outside urban/rural profile,
3175300,Area outside urban/rural profile,
3175400,Area outside urban/rural profile,
3175500,Area outside urban/rural profile,
3175700,Area outside urban/rural profile,
3175802,Area outside urban/rural profile,
3175803,Area outside urban/rural profile,
3176000,Area outside urban/rural profile,
3176100,Area outside urban/rural profile,
3183903,Area outside urban/rural profile,
3184102,Area outside urban/rural profile,
3184202,Area outside urban/rural profile,
3184203,Area outside urban/rural profile,
3184302,Area outside urban/rural profile,
3186702,Area outside urban/rural profile,
3191500,Area outside urban/rural profile,
3191702,Area outside urban/rural profile,
3195000,Area outside urban/rural profile,
3196001,Area outside urban/rural profile,
3196002,Area outside urban/rural profile,
3196003,Area outside urban/rural profile,
3196004,Area outside urban/rural profile,
3196005,Area outside urban/rural profile,
3196006,Area outside urban/rural profile,
3196007,Area outside urban/rural profile,
0000100,Highly rural/remote area,
0000200,Highly rural/remote area,
0000300,Highly rural/remote area,
0000400,Highly rural/remote area,
0000502,Highly rural/remote area,
0000600,Highly rural/remote area,
0001600,Highly rural/remote area,
0001700,Highly rural/remote area,
0001900,Highly rural/remote area,
0002000,Highly rural/remote area,
0002500,Highly rural/remote area,
0003000,Highly rural/remote area,
0004700,Highly rural/remote area,
0005400,Highly rural/remote area,
0007102,Highly rural/remote area,
0007802,Highly rural/remote area,
0008901,Highly rural/remote area,
0009800,Highly rural/remote area,
0009900,Highly rural/remote area,
0010300,Highly rural/remote area,
0010500,Highly rural/remote area,
0011500,Highly rural/remote area,
0011600,Highly rural/remote area,
0012000,Highly rural/remote area,
0012602,Highly rural/remote area,
0017200,Highly rural/remote area,
0017900,Highly rural/remote area,
0018000,Highly rural/remote area,
0018202,Highly rural/remote area,
0018203,Highly rural/remote area,
0019500,Highly rural/remote area,
0020600,Highly rural/remote area,
0020800,Highly rural/remote area,
0020900,Highly rural/remote area,
0021200,Highly rural/remote area,
0021300,Highly rural/remote area,
0021600,Highly rural/remote area,
0021700,Highly rural/remote area,
0021800,Highly rural/remote area,
0022200,Highly rural/remote area,
0023500,Highly rural/remote area,
0023800,Highly rural/remote area,
0024202,Highly rural/remote area,
0024700,Highly rural/remote area,
0024800,Highly rural/remote area,
0025000,Highly rural/remote area,
0025100,Highly rural/remote area,
0025400,Highly rural/remote area,
0025600,Highly rural/remote area,
0025900,Highly rural/remote area,
0026001,Highly rural/remote area,
0026100,Highly rural/remote area,
0026201,Highly rural/remote area,
0026301,Highly rural/remote area,
0026303,Highly rural/remote area,
0026304,Highly rural/remote area,
0026305,Highly rural/remote area,
0026400,Highly rural/remote area,
0026500,Highly rural/remote area,
0026700,Highly rural/remote area,
0026800,Highly rural/remote area,
0026900,Highly rural/remote area,
0027000,Highly rural/remote area,
0027200,Highly rural/remote area,
0027400,Highly rural/remote area,
0027500,Highly rural/remote area,
0027600,Highly rural/remote area,
0027700,Highly rural/remote area,
0027800,Highly rural/remote area,
0027900,Highly rural/remote area,
0028400,Highly rural/remote area,
0028600,Highly rural/remote area,
0028700,Highly rural/remote area,
0029000,Highly rural/remote area,
0029101,Highly rural/remote area,
0029102,Highly rural/remote area,
0029200,Highly rural/remote area,
0029302,Highly rural/remote area,
0029500,Highly rural/remote area,
0029700,Highly rural/remote area,
0029800,Highly rural/remote area,
0030100,Highly rural/remote area,
0030200,Highly rural/remote area,
0030300,Highly rural/remote area,
0030500,Highly rural/remote area,
0030900,Highly rural/remote area,
0031000,Highly rural/remote area,
0031100,Highly rural/remote area,
0031400,Highly rural/remote area,
0031500,Highly rural/remote area,
0031600,Highly rural/remote area,
0031700,Highly rural/remote area,
0031900,Highly rural/remote area,
0032000,Highly rural/remote area,
0035401,Highly rural/remote area,
0035502,Highly rural/remote area,
0036600,Highly rural/remote area,
0037200,Highly rural/remote area,
0037300,Highly rural/remote area,
0037806,Highly rural/remote area,
0037902,Highly rural/remote area,
0038002,Highly rural/remote area,
0038800,Highly rural/remote area,
0040001,Highly rural/remote area,
0040002,Highly rural/remote area,
0040300,Highly rural/remote area,
0040502,Highly rural/remote area,
0040602,Highly rural/remote area,
0046100,Highly rural/remote area,
0046200,Highly rural/remote area,
0046901,Highly rural/remote area,
0046902,Highly rural/remote area,
0047001,Highly rural/remote area,
0047100,Highly rural/remote area,
0047302,Highly rural/remote area,
0047802,Highly rural/remote area,
0047902,Highly rural/remote area,
0048102,Highly rural/remote area,
0048407,Highly rural/remote area,
0048602,Highly rural/remote area,
0049103,Highly rural/remote area,
0049104,Highly rural/remote area,
0050002,Highly rural/remote area,
0050501,Highly rural/remote area,
0050602,Highly rural/remote area,
0050603,Highly rural/remote area,
0050704,Highly rural/remote area,
0050706,Highly rural/remote area,
0050708,Highly rural/remote area,
0050805,Highly rural/remote area,
0050806,Highly rural/remote area,
0050901,Highly rural/remote area,
0051000,Highly rural/remote area,
0051101,Highly rural/remote area,
0051405,Highly rural/remote area,
0059200,Highly rural/remote area,
0059900,Highly rural/remote area,
0061100,Highly rural/remote area,
0061400,Highly rural/remote area,
0062304,Highly rural/remote area,
0062705,Highly rural/remote area,
0065101,Highly rural/remote area,
0066000,Highly rural/remote area,
0067000,Highly rural/remote area,
0067100,Highly rural/remote area,
0067200,Highly rural/remote area,
0068000,Highly rural/remote area,
0070905,Highly rural/remote area,
0071701,Highly rural/remote area,
0072501,Highly rural/remote area,
0073301,Highly rural/remote area,
0074400,Highly rural/remote area,
0074502,Highly rural/remote area,
0076901,Highly rural/remote area,
0076902,Highly rural/remote area,
