mb06,Urban/Rural Profile Classification Category,Main urban areas
0298000,Main urban area,Western Auckland Zone
0298100,Main urban area,Western Auckland Zone
0298200,Main urban area,Western Auckland Zone
0298300,Main urban area,Western Auckland Zone
0298400,Main urban area,Western Auckland Zone
0298500,Main urban area,Western Auckland Zone
0298600,Main urban area,Western Auckland Zone
0298701,Main urban area,Western Auckland Zone
0298702,Main urban area,Western Auckland Zone
0298801,Main urban area,Western Auckland Zone
0298802,Main urban area,Western Auckland Zone
0298803,Main urban area,Western Auckland Zone
0298901,Main urban area,Western Auckland Zone
0298903,Main urban area,Western Auckland Zone
0298904,Main urban area,Western Auckland Zone
0298905,Main urban area,Western Auckland Zone
0299000,Main urban area,Western Auckland Zone
0299101,Main urban area,Western Auckland Zone
0299102,Main urban area,Western Auckland Zone
0299200,Main urban area,Western Auckland Zone
0299300,Main urban area,Western Auckland Zone
0299402,Main urban area,Western Auckland Zone
0299404,Main urban area,Western Auckland Zone
0299405,Main urban area,Western Auckland Zone
0299406,Main urban area,Western Auckland Zone
0299407,Main urban area,Western Auckland Zone
0299500,Main urban area,Western Auckland Zone
0299600,Main urban area,Western Auckland Zone
0299700,Main urban area,Western Auckland Zone
0299800,Main urban area,Western Auckland Zone
0299900,Main urban area,Western Auckland Zone
0300000,Main urban area,Western Auckland Zone
0300100,Main urban area,Western Auckland Zone
0300200,Main urban area,Western Auckland Zone
0300300,Main urban area,Western Auckland Zone
0300400,Main urban area,Western Auckland Zone
0300501,Main urban area,Western Auckland Zone
0300502,Main urban area,Western Auckland Zone
0300503,Main urban area,Western Auckland Zone
0300600,Main urban area,Western Auckland Zone
0300701,Main urban area,Western Auckland Zone
0300702,Main urban area,Western Auckland Zone
0300800,Main urban area,Western Auckland Zone
0300900,Main urban area,Western Auckland Zone
0301000,Main urban area,Western Auckland Zone
0301100,Main urban area,Western Auckland Zone
0301200,Main urban area,Western Auckland Zone
0301300,Main urban area,Western Auckland Zone
0301400,Main urban area,Western Auckland Zone
0301500,Main urban area,Western Auckland Zone
0301600,Main urban area,Western Auckland Zone
0301700,Main urban area,Western Auckland Zone
0301800,Main urban area,Western Auckland Zone
0301901,Main urban area,Western Auckland Zone
0301902,Main urban area,Western Auckland Zone
0301903,Main urban area,Western Auckland Zone
0302000,Main urban area,Western Auckland Zone
0302100,Main urban area,Western Auckland Zone
0302201,Main urban area,Western Auckland Zone
0302202,Main urban area,Western Auckland Zone
0302300,Main urban area,Western Auckland Zone
0302400,Main urban area,Western Auckland Zone
0302501,Main urban area,Western Auckland Zone
0302502,Main urban area,Western Auckland Zone
0302503,Main urban area,Western Auckland Zone
0302601,Main urban area,Western Auckland Zone
0302602,Main urban area,Western Auckland Zone
0302700,Main urban area,Western Auckland Zone
0302800,Main urban area,Western Auckland Zone
0302900,Main urban area,Western Auckland Zone
0303002,Main urban area,Western Auckland Zone
0303102,Main urban area,Western Auckland Zone
0303501,Main urban area,Northern Auckland Zone
0303502,Main urban area,Northern Auckland Zone
0303600,Main urban area,Northern Auckland Zone
0303700,Main urban area,Northern Auckland Zone
0303800,Main urban area,Northern Auckland Zone
0303901,Main urban area,Northern Auckland Zone
0303902,Main urban area,Northern Auckland Zone
0304100,Main urban area,Northern Auckland Zone
0304200,Main urban area,Northern Auckland Zone
0304300,Main urban area,Northern Auckland Zone
0304400,Main urban area,Northern Auckland Zone
0304500,Main urban area,Northern Auckland Zone
0304600,Main urban area,Northern Auckland Zone
0304700,Main urban area,Northern Auckland Zone
0304800,Main urban area,Northern Auckland Zone
0304900,Main urban area,Northern Auckland Zone
0305000,Main urban area,Northern Auckland Zone
0305100,Main urban area,Northern Auckland Zone
0305201,Main urban area,Northern Auckland Zone
0305202,Main urban area,Northern Auckland Zone
0305300,Main urban area,Northern Auckland Zone
0305400,Main urban area,Northern Auckland Zone
0305500,Main urban area,Northern Auckland Zone
0305600,Main urban area,Northern Auckland Zone
0305700,Main urban area,Northern Auckland Zone
0305800,Main urban area,Northern Auckland Zone
0305900,Main urban area,Northern Auckland Zone
0306000,Main urban area,Northern Auckland Zone
0306100,Main urban area,Northern Auckland Zone
0306200,Main urban area,Northern Auckland Zone
0306300,Main urban area,Northern Auckland Zone
0306400,Main urban area,Northern Auckland Zone
0306500,Main urban area,Northern Auckland Zone
0306600,Main urban area,Northern Auckland Zone
0306700,Main urban area,Northern Auckland Zone
0306800,Main urban area,Northern Auckland Zone
0306900,Main urban area,Northern Auckland Zone
0307000,Main urban area,Northern Auckland Zone
0307100,Main urban area,Northern Auckland Zone
0307200,Main urban area,Northern Auckland Zone
0307300,Main urban area,Northern Auckland Zone
0307400,Main urban area,Northern Auckland Zone
0307500,Main urban area,Northern Auckland Zone
0307600,Main urban area,Northern Auckland Zone
0307700,Main urban area,Northern Auckland Zone
0307800,Main urban area,Northern Auckland Zone
0307900,Main urban area,Northern Auckland Zone
0308000,Main urban area,Northern Auckland Zone
0308100,Main urban area,Northern Auckland Zone
0308200,Main urban area,Northern Auckland Zone
0308300,Main urban area,Northern Auckland Zone
0308401,Main urban area,Northern Auckland Zone
0308402,Main urban area,Northern Auckland Zone
0308500,Main urban area,Northern Auckland Zone
0308600,Main urban area,Northern Auckland Zone
0308700,Main urban area,Northern Auckland Zone
0308800,Main urban area,Northern Auckland Zone
0308900,Main urban area,Northern Auckland Zone
0309000,Main urban area,Northern Auckland Zone
0309100,Main urban area,Northern Auckland Zone
0309200,Main urban area,Northern Auckland Zone
0309300,Main urban area,Northern Auckland Zone
0309400,Main urban area,Northern Auckland Zone
0309501,Main urban area,Northern Auckland Zone
0309502,Main urban area,Northern Auckland Zone
0309600,Main urban area,Northern Auckland Zone
0309700,Main urban area,Northern Auckland Zone
0309800,Main urban area,Northern Auckland Zone
0309900,Main urban area,Northern Auckland Zone
0310000,Main urban area,Northern Auckland Zone
0310100,Main urban area,Northern Auckland Zone
0310200,Main urban area,Northern Auckland Zone
0310300,Main urban area,Northern Auckland Zone
0310400,Main urban area,Northern Auckland Zone
0310500,Main urban area,Northern Auckland Zone
0310600,Main urban area,Northern Auckland Zone
0310700,Main urban area,Northern Auckland Zone
0310800,Main urban area,Northern Auckland Zone
0310900,Main urban area,Northern Auckland Zone
0311000,Main urban area,Northern Auckland Zone
0311100,Main urban area,Northern Auckland Zone
0311200,Main urban area,Northern Auckland Zone
0311300,Main urban area,Northern Auckland Zone
0311400,Main urban area,Northern Auckland Zone
0311500,Main urban area,Northern Auckland Zone
0311600,Main urban area,Northern Auckland Zone
0311700,Main urban area,Northern Auckland Zone
0311800,Main urban area,Northern Auckland Zone
0311900,Main urban area,Northern Auckland Zone
0312000,Main urban area,Northern Auckland Zone
0312100,Main urban area,Northern Auckland Zone
0312200,Main urban area,Northern Auckland Zone
0312300,Main urban area,Northern Auckland Zone
0312400,Main urban area,Northern Auckland Zone
0312501,Main urban area,Northern Auckland Zone
0312502,Main urban area,Northern Auckland Zone
0312600,Main urban area,Northern Auckland Zone
0312701,Main urban area,Northern Auckland Zone
0312702,Main urban area,Northern Auckland Zone
0312800,Main urban area,Northern Auckland Zone
0312900,Main urban area,Northern Auckland Zone
0313000,Main urban area,Northern Auckland Zone
0313100,Main urban area,Northern Auckland Zone
0313200,Main urban area,Northern Auckland Zone
0313300,Main urban area,Northern Auckland Zone
0313400,Main urban area,Northern Auckland Zone
0313500,Main urban area,Northern Auckland Zone
0313600,Main urban area,Northern Auckland Zone
0313700,Main urban area,Northern Auckland Zone
0313800,Main urban area,Northern Auckland Zone
0313900,Main urban area,Northern Auckland Zone
0314001,Main urban area,Northern Auckland Zone
0314002,Main urban area,Northern Auckland Zone
0314100,Main urban area,Northern Auckland Zone
0314200,Main urban area,Northern Auckland Zone
0314300,Main urban area,Northern Auckland Zone
0314400,Main urban area,Northern Auckland Zone
0314500,Main urban area,Northern Auckland Zone
0314600,Main urban area,Northern Auckland Zone
0314700,Main urban area,Northern Auckland Zone
0314800,Main urban area,Northern Auckland Zone
0314900,Main urban area,Northern Auckland Zone
0315000,Main urban area,Northern Auckland Zone
0315100,Main urban area,Northern Auckland Zone
0315200,Main urban area,Northern Auckland Zone
0315300,Main urban area,Northern Auckland Zone
0315400,Main urban area,Northern Auckland Zone
0315500,Main urban area,Northern Auckland Zone
0315600,Main urban area,Northern Auckland Zone
0315700,Main urban area,Northern Auckland Zone
0315800,Main urban area,Northern Auckland Zone
0315900,Main urban area,Northern Auckland Zone
0316000,Main urban area,Northern Auckland Zone
0316100,Main urban area,Northern Auckland Zone
0316201,Main urban area,Northern Auckland Zone
0316202,Main urban area,Northern Auckland Zone
0316300,Main urban area,Northern Auckland Zone
0316400,Main urban area,Northern Auckland Zone
0316500,Main urban area,Northern Auckland Zone
0316600,Main urban area,Northern Auckland Zone
0316700,Main urban area,Northern Auckland Zone
0316800,Main urban area,Northern Auckland Zone
0316900,Main urban area,Northern Auckland Zone
0317000,Main urban area,Northern Auckland Zone
0317100,Main urban area,Northern Auckland Zone
0317200,Main urban area,Northern Auckland Zone
0317300,Main urban area,Northern Auckland Zone
0317400,Main urban area,Northern Auckland Zone
0317500,Main urban area,Northern Auckland Zone
0317600,Main urban area,Northern Auckland Zone
0317700,Main urban area,Northern Auckland Zone
0317800,Main urban area,Northern Auckland Zone
0317900,Main urban area,Northern Auckland Zone
0318000,Main urban area,Northern Auckland Zone
0318100,Main urban area,Northern Auckland Zone
0318200,Main urban area,Northern Auckland Zone
0318300,Main urban area,Northern Auckland Zone
0318400,Main urban area,Northern Auckland Zone
0318500,Main urban area,Northern Auckland Zone
0318600,Main urban area,Northern Auckland Zone
0318700,Main urban area,Northern Auckland Zone
0318800,Main urban area,Northern Auckland Zone
0318900,Main urban area,Northern Auckland Zone
0319000,Main urban area,Northern Auckland Zone
0319100,Main urban area,Northern Auckland Zone
0319200,Main urban area,Northern Auckland Zone
0319300,Main urban area,Northern Auckland Zone
0319400,Main urban area,Northern Auckland Zone
0319500,Main urban area,Northern Auckland Zone
0319600,Main urban area,Northern Auckland Zone
0319700,Main urban area,Northern Auckland Zone
0319801,Main urban area,Northern Auckland Zone
0319802,Main urban area,Northern Auckland Zone
0319900,Main urban area,Northern Auckland Zone
0320000,Main urban area,Northern Auckland Zone
0320100,Main urban area,Northern Auckland Zone
0320200,Main urban area,Northern Auckland Zone
0320300,Main urban area,Northern Auckland Zone
0320400,Main urban area,Northern Auckland Zone
0320500,Main urban area,Northern Auckland Zone
0320600,Main urban area,Northern Auckland Zone
0320700,Main urban area,Northern Auckland Zone
0320800,Main urban area,Northern Auckland Zone
0320900,Main urban area,Northern Auckland Zone
0321000,Main urban area,Northern Auckland Zone
0321100,Main urban area,Northern Auckland Zone
0321200,Main urban area,Northern Auckland Zone
0321300,Main urban area,Northern Auckland Zone
0321400,Main urban area,Northern Auckland Zone
0321500,Main urban area,Northern Auckland Zone
0321600,Main urban area,Northern Auckland Zone
0321700,Main urban area,Northern Auckland Zone
0321800,Main urban area,Northern Auckland Zone
0321900,Main urban area,Northern Auckland Zone
0322001,Main urban area,Northern Auckland Zone
0322002,Main urban area,Northern Auckland Zone
0322101,Main urban area,Northern Auckland Zone
0322102,Main urban area,Northern Auckland Zone
0322200,Main urban area,Northern Auckland Zone
0322300,Main urban area,Northern Auckland Zone
0322400,Main urban area,Northern Auckland Zone
0322500,Main urban area,Northern Auckland Zone
0322600,Main urban area,Northern Auckland Zone
0322700,Main urban area,Northern Auckland Zone
0322800,Main urban area,Northern Auckland Zone
0322900,Main urban area,Northern Auckland Zone
0323000,Main urban area,Northern Auckland Zone
0323100,Main urban area,Northern Auckland Zone
0323200,Main urban area,Northern Auckland Zone
0323300,Main urban area,Northern Auckland Zone
0323400,Main urban area,Northern Auckland Zone
0323500,Main urban area,Northern Auckland Zone
0323600,Main urban area,Northern Auckland Zone
0323700,Main urban area,Northern Auckland Zone
0323800,Main urban area,Northern Auckland Zone
0323900,Main urban area,Northern Auckland Zone
0324000,Main urban area,Northern Auckland Zone
0324100,Main urban area,Northern Auckland Zone
0324200,Main urban area,Northern Auckland Zone
0324300,Main urban area,Northern Auckland Zone
0324400,Main urban area,Northern Auckland Zone
0324500,Main urban area,Northern Auckland Zone
0324600,Main urban area,Northern Auckland Zone
0324700,Main urban area,Northern Auckland Zone
0324800,Main urban area,Northern Auckland Zone
0324901,Main urban area,Northern Auckland Zone
0324902,Main urban area,Northern Auckland Zone
0325000,Main urban area,Northern Auckland Zone
0325100,Main urban area,Northern Auckland Zone
0325200,Main urban area,Northern Auckland Zone
0325300,Main urban area,Northern Auckland Zone
0325402,Main urban area,Northern Auckland Zone
0325500,Main urban area,Northern Auckland Zone
0325600,Main urban area,Northern Auckland Zone
0325700,Main urban area,Northern Auckland Zone
0325800,Main urban area,Northern Auckland Zone
0325900,Main urban area,Northern Auckland Zone
0326000,Main urban area,Northern Auckland Zone
0326100,Main urban area,Northern Auckland Zone
0326200,Main urban area,Northern Auckland Zone
0326300,Main urban area,Northern Auckland Zone
0326400,Main urban area,Northern Auckland Zone
0326600,Main urban area,Northern Auckland Zone
0326700,Main urban area,Northern Auckland Zone
0326800,Main urban area,Northern Auckland Zone
0326900,Main urban area,Northern Auckland Zone
0327000,Main urban area,Northern Auckland Zone
0327100,Main urban area,Northern Auckland Zone
0327200,Main urban area,Northern Auckland Zone
0327300,Main urban area,Northern Auckland Zone
0327400,Main urban area,Northern Auckland Zone
0327500,Main urban area,Northern Auckland Zone
0327600,Main urban area,Northern Auckland Zone
0327700,Main urban area,Northern Auckland Zone
0327800,Main urban area,Northern Auckland Zone
0327900,Main urban area,Northern Auckland Zone
0328000,Main urban area,Northern Auckland Zone
0328100,Main urban area,Northern Auckland Zone
0328300,Main urban area,Northern Auckland Zone
0328400,Main urban area,Northern Auckland Zone
0328500,Main urban area,Northern Auckland Zone
0328600,Main urban area,Northern Auckland Zone
0328700,Main urban area,Northern Auckland Zone
0328800,Main urban area,Northern Auckland Zone
0328900,Main urban area,Northern Auckland Zone
0329000,Main urban area,Northern Auckland Zone
0329100,Main urban area,Northern Auckland Zone
0329300,Main urban area,Northern Auckland Zone
0329400,Main urban area,Northern Auckland Zone
0329500,Main urban area,Northern Auckland Zone
0329600,Main urban area,Northern Auckland Zone
0329700,Main urban area,Northern Auckland Zone
0329800,Main urban area,Northern Auckland Zone
0329900,Main urban area,Northern Auckland Zone
0330000,Main urban area,Northern Auckland Zone
0330100,Main urban area,Northern Auckland Zone
0330200,Main urban area,Northern Auckland Zone
0330300,Main urban area,Northern Auckland Zone
0330400,Main urban area,Northern Auckland Zone
0330500,Main urban area,Northern Auckland Zone
0330600,Main urban area,Northern Auckland Zone
0330700,Main urban area,Northern Auckland Zone
0330800,Main urban area,Northern Auckland Zone
0330900,Main urban area,Northern Auckland Zone
0331000,Main urban area,Northern Auckland Zone
0331200,Main urban area,Northern Auckland Zone
0331300,Main urban area,Northern Auckland Zone
0331400,Main urban area,Northern Auckland Zone
0331500,Main urban area,Northern Auckland Zone
0331600,Main urban area,Northern Auckland Zone
0331700,Main urban area,Northern Auckland Zone
0331800,Main urban area,Northern Auckland Zone
0331900,Main urban area,Northern Auckland Zone
0332000,Main urban area,Northern Auckland Zone
0332100,Main urban area,Northern Auckland Zone
0332200,Main urban area,Northern Auckland Zone
0332300,Main urban area,Northern Auckland Zone
0332400,Main urban area,Northern Auckland Zone
0332500,Main urban area,Northern Auckland Zone
0332600,Main urban area,Northern Auckland Zone
0332700,Main urban area,Northern Auckland Zone
0332800,Main urban area,Northern Auckland Zone
0332900,Main urban area,Northern Auckland Zone
0333100,Main urban area,Northern Auckland Zone
0333200,Main urban area,Northern Auckland Zone
0333300,Main urban area,Northern Auckland Zone
0333400,Main urban area,Northern Auckland Zone
0333500,Main urban area,Northern Auckland Zone
0333600,Main urban area,Northern Auckland Zone
0333700,Main urban area,Northern Auckland Zone
0333800,Main urban area,Northern Auckland Zone
0333900,Main urban area,Northern Auckland Zone
0334000,Main urban area,Northern Auckland Zone
0334100,Main urban area,Northern Auckland Zone
0334200,Main urban area,Northern Auckland Zone
0334300,Main urban area,Northern Auckland Zone
0334400,Main urban area,Northern Auckland Zone
0334600,Main urban area,Northern Auckland Zone
0334700,Main urban area,Northern Auckland Zone
0334800,Main urban area,Northern Auckland Zone
0334900,Main urban area,Northern Auckland Zone
0335000,Main urban area,Northern Auckland Zone
0335100,Main urban area,Northern Auckland Zone
0335300,Main urban area,Northern Auckland Zone
0335400,Main urban area,Northern Auckland Zone
0335700,Main urban area,Northern Auckland Zone
0335800,Main urban area,Northern Auckland Zone
0335900,Main urban area,Northern Auckland Zone
0336000,Main urban area,Northern Auckland Zone
0336100,Main urban area,Northern Auckland Zone
0336200,Main urban area,Northern Auckland Zone
0336300,Main urban area,Northern Auckland Zone
0336400,Main urban area,Northern Auckland Zone
0336500,Main urban area,Northern Auckland Zone
0336600,Main urban area,Northern Auckland Zone
0336700,Main urban area,Northern Auckland Zone
0336900,Main urban area,Northern Auckland Zone
0337000,Main urban area,Northern Auckland Zone
0337100,Main urban area,Northern Auckland Zone
0337200,Main urban area,Northern Auckland Zone
0337300,Main urban area,Northern Auckland Zone
0337400,Main urban area,Northern Auckland Zone
0337500,Main urban area,Northern Auckland Zone
0337600,Main urban area,Northern Auckland Zone
0337700,Main urban area,Northern Auckland Zone
0337900,Main urban area,Northern Auckland Zone
0338000,Main urban area,Northern Auckland Zone
0338100,Main urban area,Northern Auckland Zone
0338200,Main urban area,Northern Auckland Zone
0338300,Main urban area,Northern Auckland Zone
0338400,Main urban area,Northern Auckland Zone
0338500,Main urban area,Northern Auckland Zone
0338600,Main urban area,Northern Auckland Zone
0338700,Main urban area,Northern Auckland Zone
0338800,Main urban area,Northern Auckland Zone
0338900,Main urban area,Northern Auckland Zone
0339000,Main urban area,Northern Auckland Zone
0339100,Main urban area,Northern Auckland Zone
0339400,Main urban area,Northern Auckland Zone
0339500,Main urban area,Northern Auckland Zone
0339600,Main urban area,Northern Auckland Zone
0339700,Main urban area,Northern Auckland Zone
0339800,Main urban area,Northern Auckland Zone
0339900,Main urban area,Northern Auckland Zone
0340000,Main urban area,Northern Auckland Zone
0340100,Main urban area,Northern Auckland Zone
0340200,Main urban area,Northern Auckland Zone
0340300,Main urban area,Northern Auckland Zone
0340400,Main urban area,Northern Auckland Zone
0340500,Main urban area,Northern Auckland Zone
0340700,Main urban area,Northern Auckland Zone
0340800,Main urban area,Northern Auckland Zone
0340900,Main urban area,Northern Auckland Zone
0341000,Main urban area,Northern Auckland Zone
0341100,Main urban area,Northern Auckland Zone
0341200,Main urban area,Northern Auckland Zone
0341300,Main urban area,Northern Auckland Zone
0341400,Main urban area,Northern Auckland Zone
0341500,Main urban area,Northern Auckland Zone
0341600,Main urban area,Northern Auckland Zone
0341700,Main urban area,Northern Auckland Zone
0341800,Main urban area,Northern Auckland Zone
0341900,Main urban area,Northern Auckland Zone
0342000,Main urban area,Northern Auckland Zone
0342100,Main urban area,Northern Auckland Zone
0342200,Main urban area,Northern Auckland Zone
0342300,Main urban area,Northern Auckland Zone
0342400,Main urban area,Northern Auckland Zone
0342500,Main urban area,Northern Auckland Zone
0342600,Main urban area,Northern Auckland Zone
0342700,Main urban area,Northern Auckland Zone
0342801,Main urban area,Northern Auckland Zone
0342802,Main urban area,Northern Auckland Zone
0342900,Main urban area,Northern Auckland Zone
0343000,Main urban area,Northern Auckland Zone
0343100,Main urban area,Northern Auckland Zone
0343200,Main urban area,Northern Auckland Zone
0343300,Main urban area,Northern Auckland Zone
0343400,Main urban area,Northern Auckland Zone
0343500,Main urban area,Northern Auckland Zone
0343600,Main urban area,Northern Auckland Zone
0343701,Main urban area,Northern Auckland Zone
0343703,Main urban area,Northern Auckland Zone
0343704,Main urban area,Northern Auckland Zone
0343705,Main urban area,Northern Auckland Zone
0343801,Main urban area,Northern Auckland Zone
0343802,Main urban area,Northern Auckland Zone
0343900,Main urban area,Northern Auckland Zone
0344000,Main urban area,Northern Auckland Zone
0344101,Main urban area,Northern Auckland Zone
0344102,Main urban area,Northern Auckland Zone
0344200,Main urban area,Northern Auckland Zone
0344300,Main urban area,Northern Auckland Zone
0344400,Main urban area,Northern Auckland Zone
0344500,Main urban area,Northern Auckland Zone
0344600,Main urban area,Northern Auckland Zone
0344701,Main urban area,Northern Auckland Zone
0344702,Main urban area,Northern Auckland Zone
0344800,Main urban area,Northern Auckland Zone
0344901,Main urban area,Northern Auckland Zone
0344902,Main urban area,Northern Auckland Zone
0345000,Main urban area,Northern Auckland Zone
0345100,Main urban area,Northern Auckland Zone
0345200,Main urban area,Northern Auckland Zone
0345300,Main urban area,Northern Auckland Zone
0345400,Main urban area,Northern Auckland Zone
0345500,Main urban area,Northern Auckland Zone
0345600,Main urban area,Northern Auckland Zone
0345700,Main urban area,Northern Auckland Zone
0345800,Main urban area,Northern Auckland Zone
0345900,Main urban area,Northern Auckland Zone
0346000,Main urban area,Northern Auckland Zone
0346100,Main urban area,Northern Auckland Zone
0346200,Main urban area,Northern Auckland Zone
0346301,Main urban area,Northern Auckland Zone
0346302,Main urban area,Northern Auckland Zone
0346400,Main urban area,Northern Auckland Zone
0346500,Main urban area,Northern Auckland Zone
0346600,Main urban area,Northern Auckland Zone
0346701,Main urban area,Northern Auckland Zone
0346702,Main urban area,Northern Auckland Zone
0346800,Main urban area,Northern Auckland Zone
0346900,Main urban area,Northern Auckland Zone
0347000,Main urban area,Northern Auckland Zone
0347100,Main urban area,Northern Auckland Zone
0347201,Main urban area,Northern Auckland Zone
0347202,Main urban area,Northern Auckland Zone
0347300,Main urban area,Northern Auckland Zone
0347400,Main urban area,Northern Auckland Zone
0347500,Main urban area,Northern Auckland Zone
0347600,Main urban area,Northern Auckland Zone
0347700,Main urban area,Northern Auckland Zone
0347800,Main urban area,Northern Auckland Zone
0347900,Main urban area,Northern Auckland Zone
0348000,Main urban area,Northern Auckland Zone
0348100,Main urban area,Northern Auckland Zone
0348200,Main urban area,Northern Auckland Zone
0348300,Main urban area,Northern Auckland Zone
0348400,Main urban area,Northern Auckland Zone
0348500,Main urban area,Northern Auckland Zone
0348601,Main urban area,Northern Auckland Zone
0348602,Main urban area,Northern Auckland Zone
0348700,Main urban area,Northern Auckland Zone
0348800,Main urban area,Northern Auckland Zone
0348900,Main urban area,Northern Auckland Zone
0349000,Main urban area,Northern Auckland Zone
0349100,Main urban area,Northern Auckland Zone
0349200,Main urban area,Northern Auckland Zone
0349300,Main urban area,Northern Auckland Zone
0349400,Main urban area,Northern Auckland Zone
0349500,Main urban area,Northern Auckland Zone
0349600,Main urban area,Northern Auckland Zone
0349700,Main urban area,Northern Auckland Zone
0349801,Main urban area,Northern Auckland Zone
0349802,Main urban area,Northern Auckland Zone
0349901,Main urban area,Northern Auckland Zone
0349902,Main urban area,Northern Auckland Zone
0349903,Main urban area,Northern Auckland Zone
0350000,Main urban area,Northern Auckland Zone
0350101,Main urban area,Northern Auckland Zone
0350102,Main urban area,Northern Auckland Zone
0350201,Main urban area,Northern Auckland Zone
0350202,Main urban area,Northern Auckland Zone
0350300,Main urban area,Northern Auckland Zone
0350400,Main urban area,Northern Auckland Zone
0350500,Main urban area,Northern Auckland Zone
0350600,Main urban area,Northern Auckland Zone
0350700,Main urban area,Northern Auckland Zone
0350800,Main urban area,Northern Auckland Zone
0350900,Main urban area,Northern Auckland Zone
0351000,Main urban area,Northern Auckland Zone
0351100,Main urban area,Northern Auckland Zone
0351201,Main urban area,Northern Auckland Zone
0351202,Main urban area,Northern Auckland Zone
0351300,Main urban area,Northern Auckland Zone
0351401,Main urban area,Northern Auckland Zone
0351402,Main urban area,Northern Auckland Zone
0351500,Main urban area,Northern Auckland Zone
0351600,Main urban area,Northern Auckland Zone
0351700,Main urban area,Northern Auckland Zone
0351800,Main urban area,Northern Auckland Zone
0351900,Main urban area,Northern Auckland Zone
0352000,Main urban area,Northern Auckland Zone
0352100,Main urban area,Northern Auckland Zone
0352200,Main urban area,Northern Auckland Zone
0352300,Main urban area,Northern Auckland Zone
0352400,Main urban area,Northern Auckland Zone
0352500,Main urban area,Northern Auckland Zone
0352602,Main urban area,Northern Auckland Zone
0352603,Main urban area,Northern Auckland Zone
0352604,Main urban area,Northern Auckland Zone
0352700,Main urban area,Northern Auckland Zone
0352800,Main urban area,Northern Auckland Zone
0352900,Main urban area,Northern Auckland Zone
0353000,Main urban area,Northern Auckland Zone
0353100,Main urban area,Northern Auckland Zone
0353200,Main urban area,Northern Auckland Zone
0353300,Main urban area,Northern Auckland Zone
0353400,Main urban area,Northern Auckland Zone
0353500,Main urban area,Northern Auckland Zone
0353601,Main urban area,Northern Auckland Zone
0353602,Main urban area,Northern Auckland Zone
0353700,Main urban area,Northern Auckland Zone
0353801,Main urban area,Northern Auckland Zone
0353802,Main urban area,Northern Auckland Zone
0353803,Main urban area,Northern Auckland Zone
0353900,Main urban area,Northern Auckland Zone
0354000,Main urban area,Northern Auckland Zone
0354100,Main urban area,Northern Auckland Zone
0354201,Main urban area,Northern Auckland Zone
0354202,Main urban area,Northern Auckland Zone
0354300,Main urban area,Northern Auckland Zone
0354400,Main urban area,Northern Auckland Zone
0354500,Main urban area,Northern Auckland Zone
0354600,Main urban area,Northern Auckland Zone
0354700,Main urban area,Northern Auckland Zone
0354800,Main urban area,Northern Auckland Zone
0354900,Main urban area,Northern Auckland Zone
0355000,Main urban area,Northern Auckland Zone
0355101,Main urban area,Northern Auckland Zone
0355102,Main urban area,Northern Auckland Zone
0355200,Main urban area,Northern Auckland Zone
0355300,Main urban area,Northern Auckland Zone
0355400,Main urban area,Northern Auckland Zone
0355500,Main urban area,Northern Auckland Zone
0355601,Main urban area,Northern Auckland Zone
0355602,Main urban area,Northern Auckland Zone
0355700,Main urban area,Northern Auckland Zone
0355800,Main urban area,Northern Auckland Zone
0355900,Main urban area,Northern Auckland Zone
0356001,Main urban area,Northern Auckland Zone
0356002,Main urban area,Northern Auckland Zone
0356100,Main urban area,Northern Auckland Zone
0356200,Main urban area,Northern Auckland Zone
0356300,Main urban area,Northern Auckland Zone
0356400,Main urban area,Northern Auckland Zone
0356500,Main urban area,Northern Auckland Zone
0356600,Main urban area,Northern Auckland Zone
0356700,Main urban area,Northern Auckland Zone
0356800,Main urban area,Northern Auckland Zone
0356900,Main urban area,Northern Auckland Zone
0357000,Main urban area,Northern Auckland Zone
0357100,Main urban area,Northern Auckland Zone
0357200,Main urban area,Northern Auckland Zone
0357300,Main urban area,Northern Auckland Zone
0357400,Main urban area,Northern Auckland Zone
0357500,Main urban area,Northern Auckland Zone
0357600,Main urban area,Northern Auckland Zone
0357700,Main urban area,Northern Auckland Zone
0357800,Main urban area,Northern Auckland Zone
0357900,Main urban area,Northern Auckland Zone
0358000,Main urban area,Northern Auckland Zone
0358100,Main urban area,Northern Auckland Zone
0358200,Main urban area,Northern Auckland Zone
0358300,Main urban area,Northern Auckland Zone
0358500,Main urban area,Northern Auckland Zone
0358600,Main urban area,Northern Auckland Zone
0358700,Main urban area,Northern Auckland Zone
0358800,Main urban area,Northern Auckland Zone
0358900,Main urban area,Northern Auckland Zone
0359000,Main urban area,Northern Auckland Zone
0359100,Main urban area,Northern Auckland Zone
0359200,Main urban area,Northern Auckland Zone
0359300,Main urban area,Northern Auckland Zone
0359400,Main urban area,Northern Auckland Zone
0359500,Main urban area,Northern Auckland Zone
0359600,Main urban area,Northern Auckland Zone
0359701,Main urban area,Northern Auckland Zone
0359800,Main urban area,Northern Auckland Zone
0359900,Main urban area,Northern Auckland Zone
0360000,Main urban area,Northern Auckland Zone
0360100,Main urban area,Northern Auckland Zone
0360200,Main urban area,Northern Auckland Zone
0360300,Main urban area,Northern Auckland Zone
0360400,Main urban area,Northern Auckland Zone
0360500,Main urban area,Northern Auckland Zone
